"ogc_fid";"id";"gkoid";"kortnavn";"kote";"enhed";"koteenhed";"potentialetype";"opretdato";"opretbruger";"opdateringdato";"magasin";"shape_wkt"
87479;87479;20210030;"Salling 2024";12;"kote";"meter";"Magasinspecifik";"2025-08-15 00:00:00.0";"simak";"2025-08-15 00:00:00.0";"FOHM1400";"MULTILINESTRING ((488050 6276444.940936063, 488059.3798039074 6276450, 488100 6276497.561336843, 488103.37528037356 6276500, 488161.3086520623 6276600, 488179.0631235127 6276700, 488153.2437741101 6276750, 488150 6276752.336473736))"
87480;87480;20210030;"Salling 2024";41;"kote";"meter";"Magasinspecifik";"2025-08-15 00:00:00.0";"simak";"2025-08-15 00:00:00.0";"FOHM1400";"MULTILINESTRING ((495738.57703705423 6276650, 495750 6276627.609773125, 495778.75698235864 6276600, 495800 6276573.840778516, 495900 6276503.61002033, 495911.1412241731 6276500, 496000 6276474.009259104, 496100 6276452.939894526, 496150 6276452.939894526))"
87481;87481;20210030;"Salling 2024";7;"kote";"meter";"Magasinspecifik";"2025-08-15 00:00:00.0";"simak";"2025-08-15 00:00:00.0";"FOHM1400";"MULTILINESTRING ((502183.00312997703 6277750, 502168.5475131761 6277700, 502152.5228742131 6277600, 502142.4138650367 6277500, 502124.9820226502 6277400, 502107.76584015373 6277300, 502100 6277258.192176129, 502088.4478880898 6277200, 502068.9407475693 6277100, 502052.7185952616 6277000, 502039.6926714305 6276900, 502028.3851945889 6276800, 502019.05945615 6276700, 502013.8721214439 6276600, 502013.32566237776 6276500, 502010.9515505295 6276400, 502000 6276315.366215075, 501950 6276302.082412893))"
87482;87482;20210030;"Salling 2024";8;"kote";"meter";"Magasinspecifik";"2025-08-15 00:00:00.0";"simak";"2025-08-15 00:00:00.0";"FOHM1400";"MULTILINESTRING ((502264.40542301495 6278050, 502250 6278019.034203179, 502233.4426594615 6278000, 502200 6277961.505818886, 502100 6277919.537997675, 502084.6306168081 6277900, 502000 6277832.980467756, 501973.0230220469 6277800, 501901.6539806669 6277700, 501900 6277697.0995291015, 501831.98245132563 6277600, 501800 6277536.322263568, 501778.43006909266 6277500, 501734.05582204525 6277400, 501702.6020180153 6277300, 501700 6277287.944929186, 501678.58355431317 6277200, 501662.4083506833 6277100, 501652.4378197014 6277000, 501647.256029394 6276900, 501648.5619584737 6276800, 501656.25240693736 6276700, 501666.69576106366 6276600, 501676.22580575873 6276500, 501683.0182761918 6276400, 501683.0182761918 6276350))"
87483;87483;20210030;"Salling 2024";13;"kote";"meter";"Magasinspecifik";"2025-08-15 00:00:00.0";"simak";"2025-08-15 00:00:00.0";"FOHM1400";"MULTILINESTRING ((488050 6276396.412849772, 488100 6276396.412849772, 488105.60299938434 6276400, 488200 6276451.663420124, 488268.31284259097 6276500, 488300 6276538.800138865, 488360.2801076777 6276600, 488377.5062763876 6276650))"
87484;87484;20210030;"Salling 2024";6;"kote";"meter";"Magasinspecifik";"2025-08-15 00:00:00.0";"simak";"2025-08-15 00:00:00.0";"FOHM1400";"MULTILINESTRING ((502432.8863255818 6277850, 502432.8863255818 6277800, 502460.457394371 6277700, 502462.11206781224 6277600, 502452.94190863054 6277500, 502432.89214026375 6277400, 502427.4461449684 6277300, 502413.71149638545 6277200, 502400 6277114.745662577, 502397.6224067962 6277100, 502380.1918184349 6277000, 502361.1429303109 6276900, 502342.25657639874 6276800, 502324.78232052526 6276700, 502305.2789853748 6276600, 502300 6276584.202360714, 502275.0478377423 6276500, 502239.19846397405 6276400, 502200 6276325.099000232, 502190.6093668925 6276300, 502168.1968727096 6276250, 502150 6276236.918768444))"
87485;87485;20210030;"Salling 2024";9;"kote";"meter";"Magasinspecifik";"2025-08-15 00:00:00.0";"simak";"2025-08-15 00:00:00.0";"FOHM1400";"MULTILINESTRING ((501350 6278152.077203471, 501346.31312572 6278150, 501306.80157961074 6278100, 501300 6278086.616122584, 501242.19174240046 6278000, 501200 6277916.71126023, 501190.61105930747 6277900, 501142.72750533407 6277800, 501101.15831195813 6277700, 501100 6277696.818628871, 501063.8693336665 6277600, 501031.62753253797 6277500, 501001.5631489235 6277400, 501000 6277394.36258199, 500971.7713922002 6277300, 500942.9550562924 6277200, 500915.60825976316 6277100, 500900 6277031.659213142, 500892.1793882927 6277000, 500871.13668435044 6276900, 500854.6362014697 6276800, 500851.20552615204 6276700, 500868.2736150494 6276600, 500900 6276519.193430753, 500906.0783380911 6276500, 501000 6276404.132185355, 501004.03481051186 6276400, 501096.6561946235 6276300, 501098.25411115686 6276250))"
87486;87486;20210030;"Salling 2024";10;"kote";"meter";"Magasinspecifik";"2025-08-15 00:00:00.0";"simak";"2025-08-15 00:00:00.0";"FOHM1400";"MULTILINESTRING ((500250 6276439.41745208, 500279.16602568986 6276450, 500300 6276461.864115761, 500369.6564491422 6276400, 500400 6276340.126228628, 500432.76204221934 6276300, 500441.0424396264 6276250))"
87487;87487;20210030;"Salling 2024";5;"kote";"meter";"Magasinspecifik";"2025-08-15 00:00:00.0";"simak";"2025-08-15 00:00:00.0";"FOHM1400";"MULTILINESTRING ((504150 6277737.192632088, 504100 6277737.192632088, 504000 6277742.590829127, 503900 6277742.525885403, 503800 6277741.968961822, 503700 6277740.138320531, 503600 6277737.975663436, 503500 6277737.472384327, 503400 6277736.845884397, 503300 6277735.85108162, 503200 6277738.080454809, 503100 6277739.493548027, 503000 6277723.354530392, 502944.54897326184 6277700, 502900 6277675.249350616, 502800 6277602.639525086, 502796.3978649396 6277600, 502700 6277518.600860145, 502689.7680730248 6277500, 502693.50948966324 6277400, 502700 6277337.388495501, 502702.5687456933 6277300, 502700 6277259.6313325185, 502693.2604834305 6277200, 502681.8450290401 6277100, 502670.88595967076 6277000, 502655.2753263298 6276900, 502633.54057001683 6276800, 502607.24093915644 6276700, 502600 6276679.164564126, 502573.6685992363 6276600, 502530.51993351255 6276500, 502500 6276436.353126009, 502482.0778502243 6276400, 502432.2027946535 6276300, 502400 6276203.08520093, 502399.01591709116 6276200, 502399.3097722089 6276150))"
87488;87488;20210030;"Salling 2024";26;"kote";"meter";"Magasinspecifik";"2025-08-15 00:00:00.0";"simak";"2025-08-15 00:00:00.0";"FOHM1400";"MULTILINESTRING ((493770.82183183683 6276250, 493770.82183183683 6276200, 493800 6276193.977960266, 493828.2598343848 6276200, 493850 6276232.844899053, 493900 6276248.055656658, 493906.8132001616 6276300, 493904.3812715004 6276350))"
