"ogc_fid";"id";"gkoid";"kortnavn";"kote";"enhed";"koteenhed";"potentialetype";"opretdato";"opretbruger";"opdateringdato";"magasin";"shape_wkt"
45975;45975;20200006;"Ringk�bing-Skjern";-50;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((444299.9999993682 6220705.005521627, 444310.01416381606 6220710.014219137, 444389.97433122527 6220710.025663229, 444389.9531596554 6220789.952726218, 444394.9748748197 6220799.999875876, 444394.9751370797 6220805.024595114, 444394.98413738137 6220894.984311911, 444394.98438772094 6220899.999875876, 444394.9854367623 6220994.985074852, 444394.98569902277 6221005.013913963, 444394.9939125429 6221094.993467185, 444394.9941390405 6221099.999875877, 444392.4911969552 6221107.508725974, 444392.4908989323 6221192.491025779))"
45976;45976;20200006;"Ringk�bing-Skjern";-55;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((444299.9999993684 6220705.506009908, 444311.0154384018 6220711.015195699, 444388.9733427418 6220711.026639792, 444388.95270761376 6220788.952512594, 444394.4744819059 6220799.999875876, 444394.4747680078 6220805.525083396, 444394.48366102105 6220894.48382363, 444394.48394712305 6220899.999875876, 444394.48498424405 6220994.48458657, 444394.48527034646 6221005.514402244, 444394.49340042006 6221094.492978903, 444394.4936507594 6221099.999875877, 444391.7404526127 6221108.259458396, 444391.7401665101 6221191.740293357))"
45977;45977;20200006;"Ringk�bing-Skjern";-60;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((444299.9999993681 6220706.006498189, 444312.0167010665 6220712.016935202, 444387.9723661793 6220712.027616356, 444387.9522555721 6220787.952298972, 444393.97408899164 6220799.999875876, 444393.97439893615 6220806.025571676, 444393.98319658166 6220893.98333535, 444393.9834946049 6220899.999875877, 444393.98453172547 6220993.984098288, 444393.98484166985 6221006.014890525, 444393.99287637597 6221093.992490623, 444393.9931624783 6221099.999875877, 444390.9897082699 6221109.010190817, 444390.9894221676 6221190.989560935))"
45978;45978;20200006;"Ringk�bing-Skjern";-65;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((444299.99999936845 6220706.506986471, 444313.01797565265 6220713.017911765, 444386.9713776955 6220713.028592916, 444386.95180353016 6220786.951322409, 444393.4736960781 6220799.999875877, 444393.4740298642 6220806.526059959, 444393.48272022133 6220893.4828470675, 444393.4830540074 6220899.999875876, 444393.48407920694 6220993.483610007, 444393.48441299325 6221006.515378805, 444393.4923642528 6221093.492002342, 444393.49265035486 6221099.999875876, 444390.2389639271 6221109.760923239, 444390.23867782444 6221190.238828514))"
45979;45979;20200006;"Ringk�bing-Skjern";-70;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((444299.9999993681 6220707.007474753, 444314.0192502384 6220714.018888326, 444385.97040113335 6220714.029569479, 444385.9513514889 6220785.951108786, 444392.97330316406 6220799.999875876, 444392.97366079193 6220807.026548239, 444392.9822557817 6220892.982358787, 444392.9826014889 6220899.999875877, 444392.98362668883 6220992.983121727, 444392.9839843166 6221007.015867086, 444392.9918402088 6221092.991514061, 444392.99216207385 6221099.999875876, 444389.48821958416 6221110.511655662, 444389.4879454029 6221189.488096092))"
45980;45980;20200006;"Ringk�bing-Skjern";-980;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((444299.99999936816 6220798.09786782, 444301.2678020837 6220798.731870504, 444301.90149482485 6220799.999875876, 444301.9015901923 6220898.09863076, 444301.9016974809 6220998.097867821, 444301.9018882158 6221099.999875877, 444301.4264100434 6221101.426572653))"
45982;45982;20200006;"Ringk�bing-Skjern";-430;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((444299.9999993681 6220743.043393943, 444337.9675262815 6220762.032193992, 444356.9448941597 6220799.999875877, 444356.9470518475 6220843.052549215, 444356.9484465963 6220856.947965476, 444356.9505923638 6220899.999875875, 444356.95123609365 6220999.999875876, 444356.9532149678 6221043.046445701, 444356.95447858656 6221056.954068991, 444356.9564455399 6221099.999875877, 444342.71728929353 6221142.7168558575))"
45983;45983;20200006;"Ringk�bing-Skjern";-85;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((444299.99999936816 6220708.508939597, 444317.0230620746 6220717.022580954, 444382.9674476039 6220717.032499167, 444382.94999536395 6220782.949704979, 444391.4721244229 6220799.999875875, 444391.472553576 6220808.527250144, 444391.4808505425 6220891.4808939425, 444391.48127969605 6220899.999875875, 444391.48226913303 6220991.482419821, 444391.4826982865 6221008.51733193, 444391.4902919182 6221091.490049216, 444391.490673388 6221099.999875876, 444387.23598655575 6221112.763852928, 444387.235724295 6221187.235898825))"
45984;45984;20200006;"Ringk�bing-Skjern";-90;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((444299.99999936816 6220709.009427879, 444318.02432473906 6220718.024320455, 444381.9664710411 6220718.033475729, 444381.9495433223 6220781.949491354, 444390.97173150897 6220799.999875875, 444390.9721845044 6220809.027738425, 444390.98037418217 6220890.980405662, 444390.98082717747 6220899.999875876, 444390.9818166147 6220990.98193154, 444390.9822696102 6221009.017820212, 444390.9897678742 6221090.989560936, 444390.9901851067 6221099.999875876, 444386.485242213 6221113.51458535, 444386.4849799525 6221186.485166404))"
45985;45985;20200006;"Ringk�bing-Skjern";-95;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((444299.9999993684 6220709.509916159, 444319.02559932513 6220719.02529702, 444380.96549447865 6220719.034452293, 444380.9490912807 6220780.9492777325, 444390.4713385949 6220799.999875876, 444390.4718154323 6220809.528226706, 444390.4799097431 6220890.479917381, 444390.4803865802 6220899.999875877, 444390.48136409646 6220990.48144326, 444390.48185285425 6221009.518308494, 444390.48924383044 6221090.489072654, 444390.4896849046 6221099.999875876, 444385.734485949 6221114.265317772, 444385.7342356097 6221185.7344339825))"
