"ogc_fid";"id";"gkoid";"kortnavn";"kote";"enhed";"koteenhed";"potentialetype";"opretdato";"opretbruger";"opdateringdato";"magasin";"shape_wkt"
93454;93454;20220047;"Holb�k";27;"kote";"meter";"Magasinspecifik";"2023-05-30 00:00:00.0";"simak";"2023-05-30 00:00:00.0";"Sand 2";"MULTILINESTRING ((647012.2603446072 6161750, 647014.8212461461 6161785.178753854, 647050 6161824.23547396, 647073.0435566503 6161826.95644335, 647146.6726962561 6161846.672696256, 647150 6161847.187051908, 647152.4630536753 6161847.536946325, 647159.9007612114 6161850, 647158.5503986914 6161858.550398692, 647150 6161920.994607549, 647146.7639725396 6161946.763972539, 647146.4294407034 6161950, 647145.4012833849 6161954.598716615, 647125.0126258332 6162025.012625833, 647120.3011868328 6162050, 647103.3589926441 6162096.641007356, 647101.1468764558 6162101.146876456, 647089.3296808293 6162150, 647070.7981763646 6162170.798176365, 647050 6162195.139636121, 647027.1854244843 6162227.185424484, 647019.801065115 6162250, 646990.3927504851 6162290.392750485))"
93455;93455;20220047;"Holb�k";7;"kote";"meter";"Magasinspecifik";"2023-05-30 00:00:00.0";"simak";"2023-05-30 00:00:00.0";"Sand 2";"MULTILINESTRING ((657050 6176454.427962842, 657043.0666786344 6176456.933321366, 656979.5035304462 6176479.503530446, 656950 6176490.375955087, 656912.3920525081 6176512.392052508, 656851.3855517793 6176550, 656850.5659254062 6176550.565925406, 656850 6176551.010809953, 656845.20204909 6176554.79795091, 656794.7164889195 6176594.716488919, 656750 6176629.557048693, 656738.4876199812 6176638.487619981, 656722.5490043305 6176650, 656683.7181200277 6176683.718120027, 656650 6176710.573037421, 656627.8713846066 6176727.871384607, 656595.8193130821 6176750, 656571.2134368654 6176771.213436865, 656550 6176788.880047334, 656517.7711662645 6176817.771166264, 656478.7991417644 6176850, 656464.3437485696 6176864.3437485695, 656450 6176878.50333401, 656415.1372852399 6176915.13728524, 656380.1183458256 6176950, 656365.659966593 6176965.659966593, 656350 6176982.394923059, 656318.2628573796 6177018.262857379, 656288.5773741201 6177050, 656270.1943996085 6177070.194399608, 656250 6177091.282294256, 656221.462410889 6177121.462410889, 656191.3702425605 6177150, 656170.4990050594 6177170.49900506, 656150 6177189.240006909, 656117.2441627737 6177217.244162774, 656074.9561331044 6177250, 656061.0464034481 6177261.046403448, 656050 6177269.347181778, 656001.988665154 6177301.988665154, 655991.1685790089 6177308.831420991, 655950 6177335.282715887, 655940.8390495883 6177340.839049588, 655924.6119098029 6177350, 655877.1864324507 6177377.186432451, 655850 6177393.433378262, 655813.1063888506 6177413.10638885, 655759.5485145878 6177440.451485412, 655750 6177445.394757481, 655746.662897795 6177446.662897795, 655738.2400512695 6177450, 655674.4323928094 6177474.43239281, 655650 6177484.222798234, 655607.44254788 6177507.44254788, 655572.1554527354 6177527.844547264, 655550 6177540.453072436, 655544.9624315758 6177544.962431576, 655539.2766329189 6177550, 655492.2937929098 6177592.29379291, 655450 6177631.921247219, 655441.6118357937 6177641.611835794, 655434.3893689606 6177650, 655399.5686002448 6177699.568600245, 655397.6101096907 6177702.389890309, 655364.4894126032 6177750, 655359.2271129101 6177759.22711291, 655350 6177775.412671152, 655325.3145824632 6177825.314582463, 655313.2124474249 6177850, 655294.9276507535 6177894.927650753, 655287.7149893321 6177912.2850106675, 655272.1778015958 6177950, 655266.298051825 6177966.298051825, 655250 6178008.768934612, 655239.1576478321 6178039.157647832, 655235.1877927086 6178050, 655228.6387306155 6178071.361269385, 655214.860758205 6178114.860758205, 655204.3984929707 6178150, 655196.7460133495 6178196.74601335, 655195.5794859667 6178204.420514033, 655188.2665519983 6178250, 655188.8110910407 6178288.81109104, 655189.2691998259 6178310.730800174, 655189.8125426982 6178350, 655204.0818948458 6178395.918105154, 655207.5978475467 6178407.597847546, 655220.5804767322 6178450, 655231.2749245922 6178468.725075408, 655250 6178499.962696998, 655269.5449041491 6178530.455095851, 655281.4258715648 6178550, 655314.7816972593 6178585.218302741, 655350 6178625.3220065, 655362.4585414465 6178637.541458554, 655374.0824360171 6178650, 655417.909891925 6178682.090108075, 655450 6178709.5191218825, 655474.4233020828 6178725.576697917, 655506.7246394751 6178750, 655534.3698454221 6178765.630154578, 655550 6178775.836784145, 655593.9489662182 6178793.948966218, 655602.6242131015 6178797.375786899, 655650 6178818.070593863, 655676.3408373038 6178823.659162696, 655736.7937448781 6178836.793744878, 655750 6178839.6193370335, 655759.3864376835 6178840.613562317, 655849.1703424568 6178849.170342457, 655850 6178849.256549708, 655850.7375209058 6178849.262479094, 655948.1234895361 6178848.123489536, 655950 6178848.137996586, 655952.0221995984 6178847.977800402, 656039.2706852356 6178839.270685236, 656050 6178838.4578821445, 656063.2469535869 6178836.753046413, 656126.5714700875 6178826.571470087, 656150 6178823.770494112, 656179.348080891 6178820.651919109, 656215.2566838865 6178815.256683887, 656250 6178811.91116483, 656287.2439726098 6178812.75602739, 656312.4338490781 6178812.433849078, 656350 6178813.228882437, 656382.78049086 6178817.21950914, 656421.539960496 6178821.539960496, 656450 6178824.941761801, 656471.139728954 6178828.860271046, 656542.2483076969 6178842.248307697, 656550 6178843.692260515, 656554.9009206058 6178845.099079395, 656570.8553542675 6178850, 656634.6512241104 6178865.34877589, 656650 6178869.197720831, 656677.7690547358 6178877.769054736, 656712.3403418247 6178887.659658175, 656750 6178900.068550679, 656787.0002774671 6178912.999722533, 656831.1908284454 6178931.190828445, 656850 6178938.399274872, 656858.2422438508 6178941.757756149, 656875.7840233785 6178950, 656925.714999973 6178974.285000027, 656950 6178988.172697904, 656989.8942016129 6179010.105798387, 657044.1812102322 6179044.181210232, 657050 6179047.718936052, 657051.4189094097 6179048.58109059, 657053.4860774276 6179050, 657110.6576773582 6179089.342322642, 657150 6179118.762948662, 657167.4578421038 6179132.542157896, 657187.0958624501 6179150, 657222.0596367987 6179177.940363201, 657250 6179202.809518583, 657275.4537608702 6179224.54623913, 657302.3691931397 6179250, 657328.51239231 6179271.48760769, 657350 6179291.812291149, 657381.629813688 6179318.370186312, 657415.7982042104 6179350, 657434.5234769252 6179365.476523074, 657450 6179379.681343943, 657490.6776596219 6179409.322340379, 657541.4003777077 6179450, 657546.2277142699 6179453.772285731, 657550 6179457.384835065, 657598.8759752782 6179501.124024722, 657645.0625973031 6179550, 657647.2214122796 6179552.77858772, 657650 6179557.372778443, 657688.5854948584 6179611.414505142, 657713.0834743358 6179650, 657726.1807107737 6179673.819289226, 657750 6179728.085267254, 657758.5406099367 6179741.459390064))"
93456;93456;20220047;"Holb�k";7;"kote";"meter";"Magasinspecifik";"2023-05-30 00:00:00.0";"simak";"2023-05-30 00:00:00.0";"Sand 2";"MULTILINESTRING ((667150 6177484.177024655, 667181.9379067031 6177481.937906703, 667237.1989827128 6177462.801017287, 667250 6177461.279133658, 667257.004140844 6177457.004140844, 667264.466720212 6177450, 667308.9167786194 6177408.916778619, 667350 6177354.32123277, 667352.4276536938 6177352.427653694, 667355.0336565045 6177350, 667405.0258184153 6177305.025818415, 667450 6177257.484645037, 667455.5347797233 6177255.534779724, 667478.6692823161 6177250, 667535.5902849631 6177235.590284963, 667550 6177234.640568551, 667572.0213773478 6177227.978622653, 667613.4546973652 6177213.454697365, 667650 6177203.82309947, 667690.0042367568 6177190.004236757, 667717.7961341752 6177182.203865825, 667750 6177172.10130894, 667766.8393991503 6177166.839399151, 667830.5857192088 6177150, 667845.8020511226 6177145.802051122, 667850 6177144.788890609, 667856.6542577584 6177143.3457422415, 667926.7444175684 6177126.744417569, 667950 6177121.951803823, 667983.4578880118 6177116.542111988, 668011.4322639465 6177111.432263946, 668050 6177105.500812853, 668099.5786426641 6177100.4213573355, 668100.3302052323 6177100.330205232, 668150 6177095.45055355, 668193.0497034874 6177093.049703487, 668207.5015380759 6177092.4984619245, 668250 6177090.206191837, 668290.8597537454 6177090.859753746, 668308.4977655667 6177091.502234433, 668350 6177092.139067436, 668396.3159014082 6177096.315901408, 668402.9964057386 6177097.003594262, 668450 6177101.125202503, 668493.8670626414 6177106.132937359, 668508.281770265 6177108.281770265, 668550 6177113.352345078, 668581.7106540169 6177118.289345983, 668627.0498508394 6177127.049850839, 668650 6177130.862808034, 668665.9373359691 6177134.062664031, 668733.2842861117 6177150, 668746.9595601475 6177153.0404398525, 668750 6177153.862277325, 668755.4573162821 6177155.457316282, 668825.6935212656 6177174.306478734, 668850 6177181.90740623, 668897.65609728 6177197.65609728, 668901.2372280207 6177198.762771979, 668950 6177215.94315532, 668974.7779189666 6177225.2220810335, 669033.6824840335 6177250, 669045.2969007556 6177254.703099244, 669050 6177256.73217685, 669062.4985144144 6177262.498514415, 669114.3245256596 6177285.67547434, 669150 6177303.023182947, 669180.7282568587 6177319.271743141, 669232.8383884111 6177350, 669244.0119850212 6177355.988014979, 669250 6177359.377479563, 669276.315752002 6177376.315752002, 669305.4911381738 6177394.508861826, 669350 6177426.578316401, 669363.1121567932 6177436.8878432065, 669375.8038021814 6177450, 669414.4278385872 6177485.572161413, 669450 6177543.046675286, 669453.2597276432 6177546.740272357, 669455.3985180807 6177550))"
93503;93503;20220047;"Holb�k";7;"kote";"meter";"Magasinspecifik";"2023-05-30 00:00:00.0";"simak";"2023-05-30 00:00:00.0";"Sand 2";"MULTILINESTRING ((676050 6168755.160126524, 676047.6096014194 6168752.390398581, 676048.6046798716 6168750, 676049.3621958359 6168749.362195835, 676050 6168749.160252515, 676050.7049285534 6168749.295071446))"
93457;93457;20220047;"Holb�k";5;"kote";"meter";"Magasinspecifik";"2023-05-30 00:00:00.0";"simak";"2023-05-30 00:00:00.0";"Sand 2";"MULTILINESTRING ((651487.6915293831 6184950, 651476.5088326525 6184923.491167348, 651450 6184904.4726836085, 651400.1545436844 6184899.845456315, 651399.7659197524 6184899.765919752, 651350 6184894.092785009, 651309.4787063466 6184890.521293653, 651285.978290642 6184885.978290642, 651250 6184882.128600516, 651219.6603246385 6184880.339675361, 651174.7062327985 6184874.706232798, 651150 6184873.054716086, 651132.7089629357 6184867.291037064, 651126.9452839143 6184850, 651116.6946786651 6184816.694678665, 651122.1554560162 6184777.844543984, 651082.0773968911 6184750, 651081.6438365902 6184718.35616341, 651078.1316919359 6184678.131691936, 651077.6858897996 6184650, 651072.4766114845 6184627.523388515, 651050.3752561893 6184550.375256189, 651050.2801994797 6184550, 651050.1990704008 6184549.800929599, 651050 6184549.38129234, 651012.1181189859 6184487.881881014, 650980.1856293179 6184450, 650963.1305023038 6184436.869497696, 650950 6184429.713264463, 650900.2733105829 6184399.726689417, 650899.3360261349 6184399.336026135, 650850 6184375.777968049, 650832.9390436984 6184367.060956302, 650793.2407254103 6184350, 650759.1006533919 6184340.899346608, 650750 6184339.3875666885, 650732.2281378895 6184332.22813789, 650686.5141967214 6184313.485803278, 650650 6184299.123585663, 650619.7623580319 6184280.237641968, 650580.6282178854 6184250, 650562.3981304207 6184237.601869579, 650550 6184226.091486033, 650503.5099117369 6184196.4900882635, 650465.5483358804 6184165.54833588, 650450 6184153.226815519, 650447.9865926817 6184152.013407318, 650444.6746646512 6184150, 650384.7918465406 6184115.208153459, 650350 6184095.106309096, 650311.3213513659 6184088.678648634, 650281.0156881934 6184081.015688193, 650250 6184075.033792089, 650218.4221870666 6184081.577812933, 650185.2509377198 6184085.25093772, 650150 6184094.581177084, 650120.1338000918 6184120.133800092, 650096.995670757 6184150, 650078.2873514922 6184178.287351492, 650050 6184238.2854955, 650046.9196244446 6184246.919624445, 650046.0424585572 6184250, 650043.5969443592 6184256.403055641, 650017.8548086679 6184317.854808668, 650006.9634750023 6184350, 649998.6521291615 6184398.652129161, 649998.12070675 6184401.87929325, 649989.9861989826 6184450, 649988.8314812157 6184488.831481216, 649988.0319609693 6184511.96803903, 649986.8903811431 6184550, 649991.5484161446 6184591.548416144, 649993.3034547401 6184606.69654526, 649998.1174408154 6184650, 650000.8320128329 6184699.167987167, 650000.8824705367 6184700.882470537, 650003.4649132439 6184750, 649965.7450268032 6184765.745026804, 649967.493754704 6184832.506245296, 649960.4784965124 6184850))"
93458;93458;20220047;"Holb�k";27;"kote";"meter";"Magasinspecifik";"2023-05-30 00:00:00.0";"simak";"2023-05-30 00:00:00.0";"Sand 2";"MULTILINESTRING ((663262.2210799225 6163062.221079922, 663250 6163075.11732499, 663204.4498025008 6163104.449802501, 663153.7874505371 6163150, 663152.0192436487 6163152.019243648, 663150 6163154.2571216775, 663124.4428354466 6163175.557164554, 663097.6242134209 6163197.624213421, 663050 6163242.711452096, 663045.7591264718 6163245.759126472, 663041.1783738312 6163250, 662995.1111751429 6163295.111175143, 662950 6163342.43296433, 662946.1753820266 6163346.1753820265, 662942.1774070495 6163350, 662904.1670805602 6163395.832919439, 662900.3718081665 6163400.371808167, 662862.3875389213 6163450, 662857.3037076672 6163457.303707668, 662850 6163467.91257523, 662815.6915635535 6163515.691563553, 662789.8783680775 6163550, 662775.649771108 6163575.649771108, 662750 6163630.953342079, 662746.7549847263 6163646.754984726, 662742.6132731471 6163650, 662735.7337230397 6163664.26627696, 662713.1629262498 6163713.16292625, 662693.9254581161 6163750, 662679.2981265784 6163779.298126578, 662650 6163830.460662526, 662648.0058898882 6163848.005889888, 662647.6248600082 6163850, 662646.7621232752 6163853.237876724, 662635.7990613473 6163935.799061348, 662630.3289871616 6163950, 662613.8871379134 6163986.112862087, 662610.1602848966 6164010.160284896, 662554.4500431311 6164045.549956868, 662550 6164049.08839996, 662549.6950567288 6164049.695056729, 662549.4902232665 6164050, 662549.2517020899 6164050.74829791, 662536.6509948787 6164136.650994878, 662529.5202195445 6164150, 662510.5309151701 6164189.46908483, 662507.3193618467 6164207.319361847, 662474.6651472865 6164225.334852713, 662450 6164243.729550863, 662447.5731892452 6164247.573189246, 662444.9699259333 6164250, 662440.0179044406 6164259.982095559, 662427.6982715358 6164327.698271536, 662379.9993570648 6164350, 662369.6102604334 6164369.6102604335, 662350 6164397.34011972, 662341.0557243709 6164441.055724371, 662332.7628578387 6164450, 662321.3876204739 6164478.612379526, 662315.5899864048 6164515.589986404, 662283.6946702801 6164550, 662281.6795884444 6164581.6795884445, 662282.774729349 6164617.225270651, 662281.029939085 6164650, 662279.5573090812 6164679.557309081, 662279.6017985279 6164720.398201472, 662278.2633838434 6164750, 662277.5136919642 6164777.513691965, 662277.4681148059 6164822.531885195, 662276.7569430216 6164850, 662276.70496268 6164876.70496268, 662276.8854394363 6164923.114560564, 662276.8337138228 6164950, 662277.2547076313 6164977.254707632, 662277.3436772403 6165022.65632276, 662277.7777777778 6165050, 662278.3542739046 6165078.354273905, 662277.5350552766 6165122.464944723, 662278.1411976808 6165150, 662277.3909228683 6165177.390922869, 662272.7123947052 6165227.287605295, 662272.0043369785 6165250, 662268.7398228683 6165268.739822868, 662250 6165337.802381839, 662247.4665442775 6165347.466544278, 662246.5978980148 6165350, 662242.2101072521 6165357.789892748, 662212.2176167585 6165412.217616758, 662189.7112904111 6165450, 662171.3288130597 6165471.328813059, 662150 6165497.6676769005, 662127.1751233845 6165527.175123384, 662109.973796266 6165550, 662081.9833922309 6165581.983392231, 662050 6165622.640991211, 662037.6538109304 6165637.65381093, 662028.0495568288 6165650, 661993.2896729204 6165693.2896729205, 661960.146388676 6165739.853611324, 661952.7836169319 6165750, 661951.5996439584 6165751.599643959, 661950 6165754.137069193, 661909.1628024264 6165809.162802426, 661882.6883110885 6165850, 661870.3085883982 6165870.308588399, 661850 6165911.363734882, 661835.0744769034 6165935.074476903, 661826.9332298137 6165950, 661809.231560892 6165990.7684391085, 661803.3797191731 6166003.379719174, 661785.1638370712 6166050, 661777.7718510889 6166077.771851089, 661764.3741524675 6166135.625847532, 661760.7516923551 6166150))"
93459;93459;20220047;"Holb�k";5;"kote";"meter";"Magasinspecifik";"2023-05-30 00:00:00.0";"simak";"2023-05-30 00:00:00.0";"Sand 2";"MULTILINESTRING ((658929.9232399114 6179350, 658933.9210557677 6179333.921055768, 658950 6179255.87106417, 658951.0648984427 6179251.0648984425, 658951.160800615 6179250, 658951.6955661896 6179248.3044338105, 658977.2170154399 6179177.21701544, 658984.7725672506 6179150, 659008.5571416839 6179108.557141684, 659028.156802024 6179071.843197976, 659040.0705062094 6179050, 659044.4814536266 6179044.481453626, 659050 6179037.418169224, 659095.6713233903 6178995.671323391, 659147.7144476445 6178952.285552355, 659150 6178950.364870473, 659150.2383618166 6178950.238361817, 659150.5845825755 6178950, 659216.4694927298 6178916.46949273, 659250 6178902.52652591, 659296.9071164896 6178903.0928835105, 659303.3328278065 6178903.3328278065, 659350 6178903.925143208, 659386.1918098982 6178913.808190102, 659422.9765742532 6178922.976574253, 659450 6178930.0847860295, 659463.2586930122 6178936.741306988, 659494.6310138942 6178950, 659526.5353430547 6178973.464656945, 659550 6178989.845003369, 659583.2242044583 6179016.775795542, 659631.9564538127 6179050, 659638.9909624606 6179061.009037539, 659650 6179073.860438611, 659690.6980419905 6179109.30195801, 659735.8048815865 6179135.804881587, 659750 6179144.915276253, 659754.0071380559 6179145.992861944, 659785.7445772376 6179150, 659833.324139765 6179166.675860235, 659850 6179169.223402931, 659862.0222852859 6179162.022285285, 659904.3163925147 6179150, 659945.1535685887 6179145.153568588, 659950 6179145.1424447, 659955.304404803 6179144.695595197, 660031.1513081186 6179131.151308118, 660050 6179129.860048693, 660075.6283199537 6179124.371680046, 660113.8979877705 6179113.897987771, 660150 6179107.255485632, 660192.7836841826 6179092.783684183, 660213.1516816422 6179086.848318358, 660250 6179075.227339692, 660268.0224197538 6179068.0224197535, 660315.9394287578 6179050, 660340.6498659042 6179040.649865904, 660350 6179037.21584717, 660371.607102226 6179028.392897774, 660411.6591696992 6179011.659169699, 660450 6178996.4961951235, 660484.4078390766 6178984.407839077, 660529.4701978912 6178970.529802109, 660550 6178963.7655463, 660561.2130983262 6178961.213098327, 660624.1626835194 6178950, 660646.1835760698 6178946.18357607, 660650 6178945.61109316, 660654.7569254017 6178945.243074598, 660740.0638595792 6178940.063859579, 660750 6178939.266894219, 660761.3197163026 6178938.680283697, 660837.6269674235 6178937.626967424, 660850 6178936.932205004, 660864.0198377516 6178935.980162248, 660936.5439576878 6178936.543957688, 660950 6178935.468703972, 660969.0241759421 6178930.975824058, 661022.8161767067 6178922.816176707, 661050 6178914.799621281, 661095.1203624455 6178904.879637554, 661103.6672169424 6178903.667216943, 661150 6178891.217455043, 661183.0321900488 6178883.032190049, 661236.22020289 6178863.77979711, 661250 6178859.677415567, 661257.6892935046 6178857.689293505, 661277.1972491898 6178850, 661323.5279560119 6178823.527956012, 661350 6178783.24881774, 661366.2834410218 6178766.283441022, 661364.4911845766 6178750, 661354.7350212259 6178745.264978774, 661350 6178738.266879354, 661308.8238429094 6178691.176157091, 661292.5699468907 6178650, 661277.9831549799 6178622.01684502, 661250 6178550.476837024, 661249.8558861737 6178550.144113827, 661249.8318527865 6178550, 661249.8333539087 6178549.833353909, 661250 6178547.991393642, 661260.6452317745 6178460.645231774, 661270.7598088593 6178450, 661314.4168257425 6178414.416825742, 661350 6178401.280134238, 661381.8315106501 6178418.16848935, 661443.0555143551 6178443.055514355, 661450 6178446.18742605, 661452.125130282 6178447.874869718, 661455.6153864176 6178450, 661526.1153404176 6178473.884659583, 661550 6178477.965336498))"
93460;93460;20220047;"Holb�k";7;"kote";"meter";"Magasinspecifik";"2023-05-30 00:00:00.0";"simak";"2023-05-30 00:00:00.0";"Sand 2";"MULTILINESTRING ((652393.4261958073 6180006.573804192, 652350 6179959.642916634, 652336.1975954224 6179963.802404578, 652266.489808646 6179966.489808646, 652250 6179977.4522208385, 652223.2320453984 6179976.767954602, 652167.4527916547 6179967.4527916545, 652150 6179966.86390453, 652135.1221178916 6179964.877882108, 652065.5256657895 6179950, 652051.8282161548 6179948.171783845, 652050 6179947.673452284, 652046.8180731953 6179946.818073195, 651968.4871421778 6179931.512857823, 651950 6179925.433379104, 651914.930752923 6179914.930752923, 651891.1085406747 6179908.891459325, 651850 6179894.850993599, 651815.3383489918 6179884.661651008, 651769.5954345611 6179869.595434561, 651750 6179863.510985018, 651739.0564882813 6179860.943511719, 651694.7771166853 6179850, 651656.7742795177 6179843.225720482, 651650 6179841.908369128, 651640.065698595 6179840.065698595, 651571.7280641026 6179828.271935897, 651550 6179824.111927902, 651514.2699172562 6179814.269917256, 651491.3806718132 6179808.619328187, 651450 6179796.284404092, 651415.7175486555 6179784.282451345, 651358.9733833994 6179758.9733834, 651350 6179755.3513050815, 651346.1855543623 6179753.814445638, 651338.4072196285 6179750, 651272.732341217 6179727.267658783, 651250 6179716.903097951, 651204.270924393 6179695.729075607, 651184.2189122003 6179684.2189122, 651150 6179665.773267086, 651139.9590180911 6179660.040981909, 651125.6324405912 6179650, 651076.2366471294 6179623.763352871, 651050 6179606.416627158, 651016.2089621922 6179583.791037808, 650975.4895683513 6179550, 650960.0502887244 6179539.949711275, 650950 6179531.262848125, 650905.1580295552 6179494.841970445, 650861.3135334223 6179450, 650855.2106786935 6179444.789321306, 650850 6179439.27945323, 650803.6498271705 6179396.35017283, 650762.3434188325 6179350, 650755.9766349654 6179344.023365035, 650750 6179337.13681069, 650706.5885549652 6179293.411445035, 650671.0208851359 6179250, 650660.540400653 6179239.459599347, 650650 6179226.546727069, 650614.1118985733 6179185.888101427, 650589.5358383405 6179150, 650571.8901297519 6179128.1098702485, 650550 6179093.646156604, 650531.2777427783 6179068.722257222, 650520.3377199653 6179050, 650491.423152652 6179008.576847348, 650471.8564698099 6178971.85646981, 650459.3049865279 6178950, 650455.4109168827 6178944.589083117, 650450 6178934.965759508, 650415.4820142051 6178884.517985795, 650397.8885760454 6178850, 650379.4678813098 6178820.53211869, 650350 6178754.2615145175, 650348.4007701953 6178751.599229804, 650347.7247182353 6178750, 650345.0988420113 6178745.098842011, 650310.5856566726 6178689.414343327, 650295.9419114807 6178650, 650273.5009403306 6178626.49905967))"
93504;93504;20220047;"Holb�k";1;"kote";"meter";"Magasinspecifik";"2023-05-30 00:00:00.0";"simak";"2023-05-30 00:00:00.0";"Sand 2";"MULTILINESTRING ((663850 6178753.318410457, 663846.7820192645 6178753.217980736, 663823.3050884914 6178750, 663778.5950546211 6178721.404945379, 663750 6178724.236767591, 663728.7759495918 6178671.224050408, 663724.1843638878 6178650, 663727.0091108598 6178627.00911086, 663743.2115797715 6178556.788420228, 663744.2229153953 6178550, 663744.6625369517 6178544.662536952))"
93505;93505;20220047;"Holb�k";8;"kote";"meter";"Magasinspecifik";"2023-05-30 00:00:00.0";"simak";"2023-05-30 00:00:00.0";"Sand 2";"MULTILINESTRING ((662240.4428411338 6176559.557158866, 662235.4804393955 6176550, 662234.5323898082 6176534.532389808, 662226.9784875334 6176473.0215124665, 662225.7409981814 6176450, 662225.8109385776 6176425.810938577, 662224.0477729043 6176375.952227096, 662224.1172970808 6176350, 662222.2507024396 6176322.25070244, 662215.1572263334 6176284.842773667, 662213.3570858364 6176250, 662221.3011189556 6176221.301118956, 662250 6176158.681397952, 662251.7239876259 6176151.723987626))"
