"ogc_fid";"id";"gkoid";"kortnavn";"kote";"enhed";"koteenhed";"potentialetype";"opretdato";"opretbruger";"opdateringdato";"magasin";"shape_wkt"
72496;72496;20200006;"Ringk�bing-Skjern";-915;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand3";"MULTILINESTRING ((455699.9999994987 6209545.368833384, 455739.3692011592 6209560.630674203, 455762.53814647195 6209599.999875864, 455740.8966059444 6209640.896482309, 455699.9999994986 6209657.224912485, 455664.2410273303 6209635.758848032, 455648.4848017442 6209599.999875863, 455665.2252192248 6209565.225095591, 455699.9999994987 6209545.368833384))"
72497;72497;20200006;"Ringk�bing-Skjern";-920;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand3";"MULTILINESTRING ((455699.9999994987 6209537.554807504, 455745.00122020225 6209554.99865516, 455771.4836115599 6209599.999875862, 455746.746825671 6209646.746702036, 455699.99999949866 6209665.411252817, 455659.125518297 6209640.875120004, 455641.1155695663 6209599.999875863, 455660.2508539904 6209560.250730354, 455699.9999994987 6209537.554807504))"
72498;72498;20200006;"Ringk�bing-Skjern";-925;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand3";"MULTILINESTRING ((455699.9999994987 6209529.739255745, 455748.56491038797 6209548.56554969, 455752.1133417844 6209547.886533577, 455752.4436945676 6209552.444333872, 455780.4298395875 6209599.999875863, 455758.43582103244 6209641.564817268, 455759.8854059934 6209659.884519418, 455743.95065257535 6209656.049985726, 455699.99999949866 6209673.596067269, 455654.0100092638 6209645.989866098, 455633.7463373885 6209599.999875864, 455655.27648875595 6209555.276365122, 455699.9999994987 6209529.739255745))"
72499;72499;20200006;"Ringk�bing-Skjern";-930;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand3";"MULTILINESTRING ((455699.9999994986 6209521.923703988, 455735.8032221553 6209535.803098519, 455770.90759227285 6209529.09228309, 455774.1836542846 6209574.183530648, 455789.37606761494 6209599.999875864, 455777.4360651734 6209622.56457313, 455782.1502680543 6209682.150144419, 455730.3237910029 6209669.676084359, 455699.9999994987 6209681.782407601, 455654.4250483264 6209654.424924692, 455646.94595286716 6209653.0531595545, 455647.1534723984 6209647.154111703, 455626.3771052107 6209599.999875863, 455650.3013605821 6209550.3019998865, 455699.9999994986 6209521.923703988))"
72500;72500;20200006;"Ringk�bing-Skjern";-970;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand3";"MULTILINESTRING ((456399.9999995066 6209511.3371561365, 456379.9507136177 6209579.951352914, 456376.1390681098 6209599.999875862, 456374.3247980902 6209625.675840219, 456374.3247980902 6209674.323911508, 456372.21069286566 6209699.999875864, 456395.11108349095 6209704.88879188, 456399.99999950663 6209702.902097544, 456401.9348139597 6209701.934690316, 456402.90222118626 6209699.999875864, 456402.9022211864 6209599.999875862, 456402.8556818797 6209597.14495643, 456399.9999995066 6209511.3371561365))"
72501;72501;20200006;"Ringk�bing-Skjern";-975;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand3";"MULTILINESTRING ((456399.9999995065 6209526.623411019, 456383.40759228 6209583.4074686365, 456380.2536005806 6209599.999875863, 456378.75137279736 6209621.247739633, 456378.7513727974 6209678.752012094, 456377.00195263134 6209699.999875864, 456395.9541315865 6209704.046506723, 456399.9999995066 6209702.4016092615, 456401.6014094186 6209701.600522836, 456402.40173290507 6209699.999875864, 456402.40173290507 6209599.999875863, 456402.3628229929 6209597.636289437, 456399.9999995065 6209526.623411019))"
72502;72502;20200006;"Ringk�bing-Skjern";-980;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand3";"MULTILINESTRING ((456399.9999995065 6209541.911191781, 456386.8644709419 6209586.865110238, 456384.3673701119 6209599.999875863, 456383.17794750445 6209616.8211649265, 456383.17794750445 6209683.178586801, 456381.79321239697 6209699.999875864, 456396.79717968235 6209703.202695688, 456399.9999995066 6209701.901120982, 456401.26800487767 6209701.267881234, 456401.9012446237 6209699.999875863, 456401.90124462364 6209599.999875864, 456401.87072704564 6209598.129148325, 456399.9999995065 6209541.911191781))"
72503;72503;20200006;"Ringk�bing-Skjern";-985;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand3";"MULTILINESTRING ((456399.99999950663 6209557.197446665, 456390.3213496041 6209590.321225961, 456388.4811396432 6209599.999875864, 456387.60528515093 6209612.3945902195, 456387.60528515093 6209687.605161509, 456386.5844721627 6209699.999875864, 456397.640227778 6209702.360410531, 456399.9999995065 6209701.4006327, 456400.93383739726 6209700.933713755, 456401.4007563425 6209699.999875864, 456401.4007563425 6209599.999875863, 456401.3786310984 6209598.622007211, 456399.99999950663 6209557.197446665))"
72504;72504;20200006;"Ringk�bing-Skjern";-990;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand3";"MULTILINESTRING ((456399.99999950663 6209572.483701549, 456393.7782282662 6209593.777341682, 456392.5949091745 6209599.999875863, 456392.0318598581 6209607.968015512, 456392.0318598581 6209692.031736215, 456391.3757319284 6209699.999875864, 456398.48251293425 6209701.516599496, 456399.9999995066 6209700.900144419, 456400.6004328562 6209700.601072153, 456400.9010310007 6209699.999875865, 456400.9010310008 6209599.999875863, 456400.8857722117 6209599.113340219, 456399.99999950663 6209572.483701549))"
72505;72505;20200006;"Ringk�bing-Skjern";-995;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand3";"MULTILINESTRING ((456399.9999995065 6209587.7699564295, 456397.234343989 6209597.234983285, 456396.70867870573 6209599.999875862, 456396.4584345651 6209603.541440805, 456396.4584345651 6209696.458310922, 456396.1669916941 6209699.999875864, 456399.32556103007 6209700.674314341, 456399.99999950663 6209700.3996561365, 456400.26702831517 6209700.266904672, 456400.40054271946 6209699.999875863, 456400.40054271946 6209599.999875862, 456400.39367626444 6209599.606199106, 456399.9999995065 6209587.7699564295))"
