"ogc_fid";"id";"gkoid";"kortnavn";"kote";"enhed";"koteenhed";"potentialetype";"opretdato";"opretbruger";"opdateringdato";"magasin";"shape_wkt"
26780;26780;20180010;"Varde - Lerp�tvej Vandv�rk";1;"kote";"meter";"Magasinspecifik";"2022-11-25 00:00:00.0";"simak";"2022-11-25 00:00:00.0";"Sand 4";"MULTILINESTRING ((461950 6162483.6029, 461980.6712999996 6162450, 461977.1009999998 6162427.101, 461973.6951000001 6162400, 461954.9068999998 6162395.0931, 461950 6162396.0941))"
26781;26781;20180010;"Varde - Lerp�tvej Vandv�rk";1;"kote";"meter";"Magasinspecifik";"2022-11-25 00:00:00.0";"simak";"2022-11-25 00:00:00.0";"Sand 4";"MULTILINESTRING ((461950 6162858.3697999995, 461962.5421000002 6162850, 462000 6162830.508199999, 462024.06340000033 6162800, 462029.43680000026 6162770.563200001, 462033.5747999996 6162750))"
26756;26756;20180010;"Varde - Lerp�tvej Vandv�rk";25;"kote";"meter";"Magasinspecifik";"2022-11-25 00:00:00.0";"simak";"2022-11-25 00:00:00.0";"Sand 3";"MULTILINESTRING ((469964.2514000004 6173350, 469950 6173305.2137, 469947.8055999996 6173300, 469938.32919999957 6173288.3292, 469910.5011 6173250, 469900 6173236.9221, 469854.2764999997 6173200, 469850 6173195.7776, 469841.1939000003 6173191.1939, 469800 6173168.7203, 469764.341 6173150, 469750 6173134.4056, 469700.1281000003 6173100, 469700 6173099.9102, 469699.37849999964 6173099.3785, 469650 6173057.974199999, 469639.10919999983 6173050, 469611.6350999996 6173011.6351, 469602.94120000023 6173000, 469600 6172995.984999999, 469569.65979999956 6172950, 469550 6172915.803200001, 469541.1919999998 6172900, 469531.2379999999 6172881.238, 469514.17540000007 6172850, 469500 6172825.623299999, 469485.0434999997 6172800, 469464.4852 6172764.485200001, 469456.0883999998 6172750, 469450 6172740.4186, 469424.91280000005 6172700, 469400 6172659.9661, 469393.76269999985 6172650, 469378.9749999996 6172628.975, 469358.77770000044 6172600, 469350 6172587.791999999, 469324.034 6172550, 469300 6172519.866599999, 469283.57820000034 6172500, 469250 6172462.044399999, 469239.0591000002 6172450, 469200 6172411.1185, 469188.12880000006 6172400, 469150 6172366.2381, 469129.1487999996 6172350, 469100 6172327.0491, 469063.15890000015 6172300, 469050 6172290.679199999, 469026.3929000003 6172276.392899999, 469000 6172260.1119, 468983.19680000003 6172250, 468950 6172228.602399999, 468900.71740000043 6172200.7173999995, 468900 6172200.307499999, 468899.4358000001 6172200, 468850 6172173.148, 468803.4944000002 6172150, 468800 6172148.1535, 468796.23610000033 6172146.236099999, 468750 6172122.2041, 468703.8842000002 6172100, 468700 6172098.138800001, 468696.51570000034 6172096.515699999, 468650 6172074.5737, 468603.3841000004 6172053.384099999, 468600 6172051.801999999, 468595.96750000026 6172050, 468550 6172028.800899999, 468512.18819999974 6172012.188200001, 468500 6172006.634299999, 468484.99509999994 6172000, 468450 6171985.1636, 468425.94820000045 6171975.9482, 468400 6171965.416099999, 468360.6908 6171950, 468350 6171946.0306, 468344.3596000001 6171944.3596, 468300 6171930.1271, 468266.9912999999 6171916.9913, 468250 6171909.827400001, 468211.75380000006 6171900, 468200 6171897.2202, 468196.69400000013 6171896.694, 468150 6171891.4582, 468105.61930000037 6171894.3807, 468100 6171894.307600001, 468062.94460000005 6171900, 468050 6171902.138800001, 468047.6052000001 6171902.3948, 468000 6171910.979599999, 467989.0220999997 6171910.9779, 467950 6171911.828600001, 467910.9522000002 6171910.952199999, 467900 6171910.614800001, 467889.0702999998 6171910.9297, 467850 6171912.600199999, 467837.20529999956 6171912.7947, 467800 6171913.413799999, 467786.60140000004 6171913.398600001, 467750 6171913.471899999, 467711.9205 6171911.920499999, 467700 6171911.475099999, 467660.02529999986 6171910.0253, 467650 6171909.638599999, 467606.5256000003 6171906.525599999, 467600 6171906.0406, 467553.36479999963 6171903.364800001, 467550 6171903.1543000005, 467518.41500000004 6171900, 467500 6171898.2283, 467497.95600000024 6171897.956, 467450 6171892.8135, 467441.16390000004 6171891.163899999, 467400 6171884.5693, 467381.4452999998 6171881.4453, 467350 6171876.3423999995, 467320.23709999956 6171870.2371, 467300 6171866.075200001, 467257.45150000043 6171857.4515, 467250 6171855.955, 467225.37600000016 6171850, 467200 6171843.7612, 467191.7383000003 6171841.738299999, 467150 6171831.823100001, 467124.10360000003 6171824.103599999, 467100 6171816.9526, 467052.70550000016 6171802.705499999, 467050 6171801.864399999, 467045.0367999999 6171800, 467000 6171782.812000001, 466971.6807000004 6171771.6807, 466950 6171762.9705, 466922.4548000004 6171750, 466900 6171739.186899999, 466878.67590000015 6171728.675899999, 466850 6171714.1351, 466824.1785000004 6171700, 466800 6171687.287599999, 466772.2260999996 6171672.2261, 466750 6171660.162599999, 466731.0987999998 6171650, 466700 6171632.8412999995, 466674.04870000016 6171624.048699999, 466650 6171614.7114, 466611.5033 6171600, 466600 6171595.4794, 466582.09059999976 6171582.090600001, 466550 6171558.7513999995, 466540.3914999999 6171550, 466500 6171505.1064, 466495.2062999997 6171500, 466481.60649999976 6171481.6065, 466458.43900000025 6171450, 466450 6171439.2184999995, 466411.4126000004 6171400, 466400 6171388.737299999, 466358.8276000004 6171350, 466350 6171342.9156, 466331.81010000035 6171331.8101, 466300 6171312.398600001, 466282.31819999963 6171300, 466250 6171272.1987, 466221.9787999997 6171250, 466200 6171236.6127, 466165.11120000016 6171215.111199999, 466150 6171206.3114, 466135.98620000016 6171200, 466100 6171186.9209, 466075.0525000002 6171175.0525, 466050 6171166.3872, 466002.3150000004 6171152.3149999995, 466000 6171152.090299999, 465983.5800000001 6171150, 465950 6171146.934, 465934.54169999994 6171150, 465900 6171158.126499999, 465891.02520000003 6171158.9748, 465850 6171165.328400001, 465830.4793999996 6171169.5206, 465800 6171178.727399999, 465763.01130000036 6171186.988700001, 465750 6171190.581900001, 465701.3317999998 6171198.668199999, 465700 6171199.0298, 465658.1047 6171200, 465650.2243999997 6171200.224400001, 465650 6171200.180500001, 465600.6584000001 6171200.658399999, 465600 6171200.5462, 465599.4784000004 6171200.521600001, 465550 6171202.799900001, 465546.9808 6171203.019200001, 465500 6171209.389799999, 465489.84329999983 6171210.1567, 465450 6171215.915899999, 465430.42540000007 6171219.5746, 465400 6171226.970899999, 465367.3622000003 6171232.637800001, 465350 6171236.5119, 465301.0379999997 6171250, 465300 6171250.297599999, 465299.6030000001 6171250.397, 465250 6171265.1675, 465228.3005999997 6171271.6994, 465200 6171281.0320999995, 465157.4665000001 6171292.533500001, 465150 6171294.7511, 465132.64520000014 6171300, 465100 6171309.9615, 465086.1480999999 6171313.8519, 465050 6171324.4298, 465013.375 6171336.625, 465000 6171341.2872, 464974.97809999995 6171350, 464950 6171359.6041, 464934.5184000004 6171365.4816, 464900 6171379.140900001, 464854.79750000034 6171395.202500001, 464850 6171396.9991999995, 464841.6638000002 6171400, 464800 6171416.3377, 464770.9442999996 6171429.0557, 464750 6171437.8259, 464724.6824000003 6171450, 464700 6171467.539799999, 464661.2037000004 6171500, 464650 6171507.207699999))"
26757;26757;20180010;"Varde - Lerp�tvej Vandv�rk";26;"kote";"meter";"Magasinspecifik";"2022-11-25 00:00:00.0";"simak";"2022-11-25 00:00:00.0";"Sand 3";"MULTILINESTRING ((469532.59750000015 6173350, 469544.4035 6173305.5965, 469544.27109999955 6173300, 469550 6173283.945900001, 469572.1672 6173250, 469600 6173225.1207, 469627.36319999956 6173222.6368, 469650 6173215.948899999, 469668.4978 6173218.4978, 469700 6173224.352299999, 469726.52660000045 6173226.5265999995, 469750 6173229.313100001, 469799.91640000045 6173249.9164, 469800 6173249.9485, 469800.12320000026 6173250, 469850 6173265.3092, 469898.49430000037 6173300, 469900 6173301.501499999, 469925.9045000002 6173350))"
26758;26758;20180010;"Varde - Lerp�tvej Vandv�rk";26;"kote";"meter";"Magasinspecifik";"2022-11-25 00:00:00.0";"simak";"2022-11-25 00:00:00.0";"Sand 3";"MULTILINESTRING ((469364.8742000004 6173450, 469375.30009999964 6173424.699899999, 469379.6458999999 6173400, 469400 6173379.8255, 469417.2282999996 6173382.7717, 469450 6173376.4574))"
26759;26759;20180010;"Varde - Lerp�tvej Vandv�rk";27;"kote";"meter";"Magasinspecifik";"2022-11-25 00:00:00.0";"simak";"2022-11-25 00:00:00.0";"Sand 3";"MULTILINESTRING ((469230.9201999996 6173450, 469221.8326000003 6173421.832599999, 469218.7142000003 6173400, 469200 6173376.2348, 469154.3772 6173350, 469150 6173343.0549, 469134.7142000003 6173300, 469142.7363999998 6173257.263599999, 469143.04000000004 6173250, 469150 6173226.0482, 469164.2854000004 6173200, 469169.88709999993 6173180.1129, 469174.32519999985 6173150, 469171.34690000024 6173121.346899999, 469171.83999999985 6173100, 469165.14639999997 6173065.146400001, 469164.3064000001 6173050, 469150 6173011.8606, 469145.1423000004 6173000, 469137.62990000006 6172987.629899999, 469117.9550999999 6172950, 469100 6172922.952199999, 469080.9752000002 6172900, 469050 6172867.5063000005, 469016.3945000004 6172850, 469000 6172839.0734, 468963.6668999996 6172813.6669, 468950 6172803.8309, 468940.85280000046 6172800, 468900 6172780.3156, 468856.6146999998 6172756.614700001, 468850 6172753.000700001, 468842.8367999997 6172750, 468800 6172724.261, 468761.5148 6172700, 468750 6172692.613399999, 468734.36099999957 6172684.361, 468700 6172666.4394000005, 468669.05989999976 6172650, 468650 6172639.9758, 468633.1009999998 6172633.101, 468600 6172619.8094, 468550.1058 6172600, 468550 6172599.9574, 468549.94209999964 6172599.9421, 468500 6172585.9102, 468479.89549999963 6172579.895500001, 468450 6172571.006999999, 468413.8530000001 6172563.853, 468400 6172560.918099999, 468351.35170000046 6172551.3517, 468350 6172551.073100001, 468341.74980000034 6172550, 468300 6172545.134400001, 468294.3289000001 6172544.3289, 468250 6172537.561899999, 468236.5630000001 6172536.562999999, 468200 6172532.888900001, 468180.86099999957 6172530.861, 468150 6172526.9867, 468126.01099999994 6172526.011, 468100 6172523.8762, 468075.0482000001 6172524.9518, 468050 6172528.7959, 468021.36730000004 6172528.6327, 468000 6172530.2477, 467977.06230000034 6172527.0623, 467950 6172524.4245, 467917.0610999996 6172517.0611000005, 467900 6172514.426899999, 467857.10309999995 6172507.1031, 467850 6172506.304400001, 467812.77979999967 6172500, 467800 6172497.6184, 467797.0872999998 6172497.087300001, 467750 6172490.5611000005, 467737.3289000001 6172487.3289, 467700 6172477.8244, 467669.47229999956 6172469.4723000005, 467650 6172463.6206, 467614.3287000004 6172450, 467600 6172445.574999999, 467593.95469999965 6172443.954700001, 467550 6172431.1986, 467521.15050000045 6172421.1504999995, 467500 6172413.6525, 467459.23230000027 6172400, 467450 6172397.0002999995, 467444.82239999995 6172394.8224, 467400 6172375.913899999, 467358.79870000016 6172358.798699999, 467350 6172355.114800001, 467340.16449999996 6172350, 467300 6172331.7433, 467266.97339999955 6172316.9734000005, 467250 6172309.343900001, 467232.56209999975 6172300, 467200 6172282.4826, 467162.3920999998 6172262.392100001, 467150 6172255.713099999, 467140.76499999966 6172250, 467100 6172228.439300001, 467055.33270000014 6172205.332699999, 467050 6172202.5187, 467045.62480000034 6172200, 467000 6172174.1272, 466957.6105000004 6172150, 466950 6172146.422700001, 466942.8531999998 6172142.8532, 466900 6172121.2137, 466858.0906999996 6172100, 466850 6172096.1898, 466842.48670000024 6172092.4867, 466800 6172072.289100001, 466751.4670000002 6172050, 466750 6172049.3495000005, 466748.91779999994 6172048.9178, 466700 6172030.216399999, 466667.5218000002 6172017.5218, 466650 6172010.828, 466615.54289999977 6172000, 466600 6171994.8638, 466592.0329 6171992.0329, 466550 6171977.881200001, 466520.11319999956 6171970.1132, 466500 6171964.952299999, 466456.5761000002 6171956.576099999, 466450 6171954.940300001, 466411.8757999996 6171950, 466400 6171948.414899999, 466398.31429999974 6171948.314300001, 466350 6171945.693600001, 466344.57469999976 6171944.5747, 466300 6171936.6975, 466273.0451999996 6171923.0452, 466250 6171912.5403, 466233.13379999995 6171900, 466200 6171874.9484, 466159.3616000004 6171850, 466150 6171843.934599999, 466135.25150000025 6171835.251499999, 466100 6171813.538699999, 466072.4068 6171800, 466050 6171790.6149, 466035.9589999998 6171785.959000001, 466000 6171772.0287999995, 465963.3814000003 6171763.3814, 465950 6171759.059599999, 465922.9255999997 6171750, 465900 6171741.954500001, 465875.7580000004 6171725.757999999, 465850 6171708.7479, 465839.42030000035 6171700, 465800 6171661.369000001, 465786.6383999996 6171650, 465750 6171615.353800001, 465732.8864000002 6171600, 465700 6171571.0053, 465669.0281999996 6171550, 465650 6171538.720899999, 465630.949 6171530.948999999, 465600 6171518.281199999, 465553.4450000003 6171503.445, 465550 6171502.262, 465533.04119999986 6171500, 465500 6171496.242900001, 465495.5014000004 6171495.5013999995, 465450 6171489.2486000005, 465438.8574999999 6171488.8575, 465400 6171488.627800001, 465361.0061999997 6171488.993799999, 465350 6171489.192299999, 465303.4436999997 6171496.556299999, 465300 6171497.191299999, 465280.21360000037 6171500, 465250 6171504.1373, 465244.7507999996 6171505.2491999995, 465200 6171515.9706, 465179.76960000023 6171520.2304, 465150 6171527.489800001, 465111.8482999997 6171538.151699999, 465100 6171541.8577, 465067.6369000003 6171550, 465050 6171555.5177, 465041.51800000016 6171558.482000001, 465000 6171574.454700001, 464963.2887000004 6171586.711300001, 464950 6171591.8894, 464928.4681000002 6171600, 464900 6171609.985300001, 464885.26630000025 6171614.7337, 464850 6171625.9147, 464808.7507999996 6171641.2491999995, 464800 6171644.286599999, 464784.96609999985 6171650, 464750 6171669.418299999))"
26911;26911;20180010;"Varde - Lerp�tvej Vandv�rk";9;"kote";"meter";"Magasinspecifik";"2022-11-25 00:00:00.0";"simak";"2022-11-25 00:00:00.0";"Sand 4";"MULTILINESTRING ((467092.1459999997 6158450, 467050 6158483.397500001))"
26762;26762;20180010;"Varde - Lerp�tvej Vandv�rk";26;"kote";"meter";"Magasinspecifik";"2022-11-25 00:00:00.0";"simak";"2022-11-25 00:00:00.0";"Sand 3";"MULTILINESTRING ((469263.09509999957 6173450, 469255.9433000004 6173405.943299999, 469257.12310000043 6173400, 469250 6173383.6425, 469231.2435999997 6173350, 469200 6173312.337400001, 469191.31269999966 6173300, 469200 6173278.082900001, 469227.58160000015 6173250, 469250 6173230.8322, 469292.1003999999 6173207.899599999, 469300 6173205.339, 469305.0932 6173200, 469310.38019999955 6173189.6197999995, 469330.57749999966 6173150, 469335.7023 6173114.297700001, 469337.2750000004 6173100, 469340.9400000004 6173059.0600000005, 469341.6199000003 6173050, 469338.90359999985 6173038.9036, 469330.6498999996 6173000, 469325.05599999987 6172975.056, 469319.8502000002 6172950, 469300 6172901.0425, 469299.57359999977 6172900, 469299.2309999997 6172899.231000001, 469278.0064000003 6172850, 469254.51719999965 6172804.517200001, 469252.1606999999 6172800, 469250 6172795.813999999, 469226.5047000004 6172750, 469200 6172700.6766, 469199.6807000004 6172700, 469199.4584999997 6172699.4585, 469177.6596999997 6172650, 469152.32710000034 6172602.327099999, 469151.0613000002 6172600, 469150 6172598.4156, 469110.5543999998 6172550, 469100 6172540.213199999, 469055.48000000045 6172500, 469050 6172494.992799999, 469034.4358000001 6172484.435799999, 469000 6172460.9321, 468979.82210000046 6172450, 468950 6172435.5907000005, 468926.4172 6172426.417199999, 468900 6172416.956599999, 468859.4241000004 6172400, 468850 6172395.4373, 468841.51219999976 6172391.5122, 468800 6172373.093599999, 468755.8819000004 6172350, 468750 6172347.1251, 468744.91530000046 6172344.9153, 468700 6172325.0041000005, 468656.2259999998 6172306.226, 468650 6172303.6351, 468641.3810999999 6172300, 468600 6172280.645300001, 468553.7477000002 6172253.7477, 468550 6172251.5647, 468547.04959999956 6172250, 468500 6172227.9166, 468451.28029999975 6172200, 468450 6172199.2425, 468448.5647999998 6172198.5648, 468400 6172176.082800001, 468358.02830000035 6172158.0283, 468350 6172155.533299999, 468329.5536000002 6172150, 468300 6172141.714500001, 468289.37260000035 6172139.3726, 468250 6172138.026799999, 468200.11099999957 6172150, 468200 6172150.0372, 468199.9634999996 6172150.036499999, 468150 6172154.3857, 468145.84640000015 6172154.1536, 468100 6172158.930199999, 468090.45610000007 6172159.5439, 468050 6172161.9715, 468010.4781999998 6172160.4782, 468000 6172160.248400001, 467958.85030000005 6172158.850299999, 467950 6172158.860099999, 467903.64180000033 6172153.641799999, 467900 6172153.2618, 467880.4079 6172150, 467850 6172146.133199999, 467846.0223000003 6172146.022299999, 467800 6172140.6504999995, 467790.31039999984 6172140.3104, 467750 6172137.819599999, 467737.1191999996 6172137.119200001, 467700 6172134.762700001, 467683.6338999998 6172133.6339, 467650 6172131.261700001, 467628.80090000015 6172128.800899999, 467600 6172125.5659, 467572.27329999954 6172122.2733, 467550 6172119.640900001, 467512.97979999986 6172112.979800001, 467500 6172110.6434, 467452.92370000016 6172102.923699999, 467450 6172102.388499999, 467439.5089999996 6172100, 467400 6172091.3961, 467389.1506000003 6172089.150599999, 467350 6172080.4683, 467323.1699000001 6172073.1699, 467300 6172066.5035, 467253.6498999996 6172053.649900001, 467250 6172052.590600001, 467242.3465 6172050, 467200 6172037.4266, 467182.67640000023 6172032.6764, 467150 6172023.1305, 467110.4000000004 6172010.4, 467100 6172006.8915, 467078.26680000033 6172000, 467050 6171991.1051, 467035.8234000001 6171985.8234, 467000 6171972.563999999, 466957.2094999999 6171957.2095, 466950 6171954.7337, 466939.21219999995 6171950, 466900 6171932.1423, 466863.9252000004 6171913.9252, 466850 6171906.7711, 466836.90469999984 6171900, 466800 6171880.9078, 466760.13320000004 6171860.133199999, 466750 6171854.9144, 466739.90309999976 6171850, 466700 6171830.201300001, 466655.49739999976 6171805.497400001, 466650 6171802.565300001, 466644.5126 6171800, 466600 6171779.837300001, 466569.50239999965 6171769.5024, 466550 6171762.9321, 466502.83019999973 6171750, 466500 6171749.1326, 466497.99069999997 6171747.990700001, 466450 6171725.923800001, 466411.4972000001 6171700, 466400 6171691.6226, 466373.3936999999 6171673.3937, 466350 6171657.921800001, 466336.7089999998 6171650, 466300 6171626.8467999995, 466259.82189999986 6171600, 466250 6171593.3331, 466235.36369999964 6171585.363700001, 466200 6171566.07, 466171.4787999997 6171550, 466150 6171537.306399999, 466124.83189999964 6171524.831900001, 466100 6171512.690400001, 466075.0575000001 6171500, 466050 6171487.4979, 466029.42310000025 6171479.4231, 466000 6171467.357999999, 465950.09979999997 6171450.0998, 465950 6171450.0638, 465949.8077999996 6171450, 465900 6171436.113399999, 465884.3728 6171434.3728, 465850 6171427.9081, 465821.5042000003 6171421.5042, 465800 6171414.6107, 465764.6730000004 6171400, 465750 6171395.4618999995, 465744.45330000017 6171394.453299999, 465700 6171379.5382, 465670.2054000003 6171370.205399999, 465650 6171363.990599999, 465600.44290000014 6171350, 465600 6171349.8751, 465599.8594000004 6171349.8594, 465550 6171343.7721, 465506.1127000004 6171343.8873, 465500 6171344.023499999, 465494.0823999997 6171344.0824, 465450 6171340.763800001, 465407.7193 6171342.2807, 465400 6171343.2105, 465353.4003999997 6171346.5996, 465350 6171347.024599999, 465334.23319999967 6171350, 465300 6171357.2697, 465290.78160000034 6171359.2184, 465250 6171368.944800001, 465223.0179000003 6171376.982100001, 465200 6171384.2666, 465153.2708999999 6171396.7291, 465150 6171397.676999999, 465142.6651999997 6171400, 465100 6171412.9352, 465082.50019999966 6171417.4998, 465050 6171426.7675, 465010.9780000001 6171439.022, 465000 6171442.6984, 464977.9793999996 6171450, 464950 6171460.919299999, 464930.94629999995 6171469.0537, 464900 6171482.679099999, 464857.2182 6171500, 464850 6171502.7291, 464845.6683 6171504.331700001, 464800 6171523.535599999, 464755.2591000004 6171544.740900001, 464750 6171547.3083999995, 464746.5843000002 6171550))"
26763;26763;20180010;"Varde - Lerp�tvej Vandv�rk";2;"kote";"meter";"Magasinspecifik";"2022-11-25 00:00:00.0";"simak";"2022-11-25 00:00:00.0";"Sand 4";"MULTILINESTRING ((462950 6164464.581499999, 462936.7627999997 6164463.237199999, 462900 6164470.757099999, 462883.31099999975 6164500, 462900 6164524.3137, 462928.32550000027 6164550, 462950 6164583.4715, 462962.0538999997 6164600, 463000 6164637.114499999, 463025.0432000002 6164600, 463015.11099999957 6164565.111, 463016.31909999996 6164550, 463000 6164529.1763, 462976.7533 6164500, 462950 6164464.581499999))"
26764;26764;20180010;"Varde - Lerp�tvej Vandv�rk";1;"kote";"meter";"Magasinspecifik";"2022-11-25 00:00:00.0";"simak";"2022-11-25 00:00:00.0";"Sand 4";"MULTILINESTRING ((462450 6161898.570900001, 462446.16920000035 6161896.169199999, 462400 6161872.1435, 462361.3613999998 6161900, 462400 6161917.3686999995, 462448.30420000013 6161901.695800001, 462450 6161901.767000001, 462454.43649999984 6161900, 462450 6161898.570900001))"
