"ogc_fid";"id";"gkoid";"kortnavn";"kote";"enhed";"koteenhed";"potentialetype";"opretdato";"opretbruger";"opdateringdato";"magasin";"shape_wkt"
95457;95457;20220047;"Holb�k";1;"kote";"meter";"Magasinspecifik";"2023-05-30 00:00:00.0";"simak";"2023-05-30 00:00:00.0";"Sand 3";"MULTILINESTRING ((677117.0821621167 6176182.917837883, 677128.0547747444 6176150, 677135.5140689157 6176135.5140689155, 677150 6176128.436656795, 677182.3450148074 6176117.654985192))"
95458;95458;20220047;"Holb�k";1;"kote";"meter";"Magasinspecifik";"2023-05-30 00:00:00.0";"simak";"2023-05-30 00:00:00.0";"Sand 3";"MULTILINESTRING ((676603.9820826196 6177096.017917381, 676619.321388413 6177050, 676630.3688686208 6177030.368868621, 676650 6177021.412234799, 676692.8816478009 6177007.118352199))"
95459;95459;20220047;"Holb�k";1;"kote";"meter";"Magasinspecifik";"2023-05-30 00:00:00.0";"simak";"2023-05-30 00:00:00.0";"Sand 3";"MULTILINESTRING ((638960.8130874434 6178339.186912557, 638958.1437959613 6178350, 638955.7441495513 6178355.744149552, 638950 6178359.1705174465, 638936.2442238302 6178363.75577617))"
95460;95460;20220047;"Holb�k";1;"kote";"meter";"Magasinspecifik";"2023-05-30 00:00:00.0";"simak";"2023-05-30 00:00:00.0";"Sand 3";"MULTILINESTRING ((677015.5679002035 6176384.432099797, 677027.0452668023 6176350, 677027.2116131939 6176327.211613194, 677027.2116131939 6176272.788386806, 677027.3755660014 6176250, 677035.1769499689 6176235.176949969, 677050 6176228.054774744, 677082.9178378833 6176217.082162117))"
95461;95461;20220047;"Holb�k";1;"kote";"meter";"Magasinspecifik";"2023-05-30 00:00:00.0";"simak";"2023-05-30 00:00:00.0";"Sand 3";"MULTILINESTRING ((676913.539133276 6176586.460866724, 676925.6927555173 6176550, 676925.9204410247 6176525.920441025, 676925.9204410247 6176474.079558975, 676926.1439006639 6176450, 676934.4413672354 6176434.441367235, 676950 6176427.045266802, 676984.4320997965 6176415.567900203))"
95462;95462;20220047;"Holb�k";1;"kote";"meter";"Magasinspecifik";"2023-05-30 00:00:00.0";"simak";"2023-05-30 00:00:00.0";"Sand 3";"MULTILINESTRING ((676707.1183521991 6176992.881647801, 676721.4122347994 6176950, 676721.8512051412 6176921.851205141, 676721.8512051412 6176878.148794859, 676722.2768984156 6176850, 676732.1436543193 6176832.143654319, 676750 6176823.897836043, 676789.1532459366 6176810.846754063))"
95463;95463;20220047;"Holb�k";1;"kote";"meter";"Magasinspecifik";"2023-05-30 00:00:00.0";"simak";"2023-05-30 00:00:00.0";"Sand 3";"MULTILINESTRING ((676810.8467540634 6176789.153245937, 676823.8978360422 6176750, 676824.1985418558 6176724.198541855, 676824.1985418558 6176675.801458145, 676824.4923981118 6176650, 676833.4556232712 6176633.455623271, 676850 6176625.692755518, 676886.460866724 6176613.539133276))"
95464;95464;20220047;"Holb�k";1;"kote";"meter";"Magasinspecifik";"2023-05-30 00:00:00.0";"simak";"2023-05-30 00:00:00.0";"Sand 3";"MULTILINESTRING ((643941.7620415027 6172150, 643945.6629869717 6172145.662986971, 643950 6172143.678511102, 643953.6609900187 6172146.339009982, 643955.93423638 6172150, 643954.2459799012 6172154.245979901, 643950 6172158.44590226, 643944.62393451 6172155.37606549, 643941.7620415027 6172150))"
95465;95465;20220047;"Holb�k";1;"kote";"meter";"Magasinspecifik";"2023-05-30 00:00:00.0";"simak";"2023-05-30 00:00:00.0";"Sand 3";"MULTILINESTRING ((643806.3763178703 6172650, 643824.4987096529 6172624.498709653, 643850 6172610.451612452, 643871.3276746734 6172628.672325327, 643881.4036899793 6172650, 643870.7817752089 6172670.781775209, 643850 6172688.432600532, 643824.1807769937 6172675.819223006, 643806.3763178703 6172650))"
95466;95466;20220047;"Holb�k";0;"kote";"meter";"Magasinspecifik";"2023-05-30 00:00:00.0";"simak";"2023-05-30 00:00:00.0";"Sand 3";"MULTILINESTRING ((675550 6180050, 675550 6179950))"
