"ogc_fid";"id";"gkoid";"kortnavn";"kote";"enhed";"koteenhed";"potentialetype";"opretdato";"opretbruger";"opdateringdato";"magasin";"shape_wkt"
88476;88476;20210030;"Salling 2024";19;"kote";"meter";"Magasinspecifik";"2025-08-15 00:00:00.0";"simak";"2025-08-15 00:00:00.0";"FOHM400";"MULTILINESTRING ((491605.9715469981 6278550, 491605.0580789743 6278600, 491600 6278608.096289813, 491519.3580093077 6278700, 491500 6278725.853849486, 491415.49818196084 6278800, 491400 6278818.395418136, 491300 6278894.741079775, 491288.5749782569 6278900, 491200 6278997.180055628, 491196.44639462547 6279000, 491152.91899379785 6279100, 491185.4805637842 6279200, 491200 6279211.013199096, 491300 6279258.813070745, 491400 6279281.342702374, 491500 6279291.057548609, 491600 6279292.071605376, 491700 6279279.482886998, 491800 6279256.984057648, 491900 6279213.159765576, 491913.0296914767 6279200, 492000 6279106.230041965, 492005.2932449413 6279100, 492096.25138217036 6279000, 492100 6278995.993726069, 492195.2632884094 6278900, 492200 6278895.838111208, 492300 6278807.252919315, 492307.10442052357 6278800, 492367.7773228005 6278700, 492386.47371464403 6278600, 492380.2544537028 6278500, 492380.2544537028 6278450))"
88477;88477;20210030;"Salling 2024";27;"kote";"meter";"Magasinspecifik";"2025-08-15 00:00:00.0";"simak";"2025-08-15 00:00:00.0";"FOHM400";"MULTILINESTRING ((495750 6278559.945639571, 495800 6278559.945639571, 495900 6278513.977383523, 495931.3071700867 6278500, 496000 6278466.24898914, 496100 6278416.257258958, 496133.31816648494 6278400, 496200 6278364.91452542, 496300 6278318.970583131, 496345.7377038422 6278300, 496400 6278278.273926389, 496500 6278237.334787896, 496591.7053440557 6278200, 496600 6278196.5932152225, 496700 6278148.977175703, 496790.0511830901 6278100, 496800 6278094.655932107, 496900 6278041.466738282, 496979.21482703683 6278000, 496991.7596493594 6277950))"
88478;88478;20210030;"Salling 2024";20;"kote";"meter";"Magasinspecifik";"2025-08-15 00:00:00.0";"simak";"2025-08-15 00:00:00.0";"FOHM400";"MULTILINESTRING ((491638.4644079326 6278550, 491632.5805043628 6278600, 491600 6278652.150471931, 491558.0138691974 6278700, 491500 6278777.481202666, 491474.33610104345 6278800, 491400 6278888.232520743, 491384.3826454461 6278900, 491322.2592406337 6279000, 491331.19354364695 6279100, 491400 6279161.100787459, 491500 6279192.40752255, 491600 6279199.4684409425, 491700 6279192.931948763, 491800 6279172.25181974, 491900 6279111.564329294, 491910.8049506876 6279100, 491995.4320248071 6279000, 492000 6278994.549952298, 492088.929424708 6278900, 492100 6278890.212179741, 492200 6278800.974049935, 492201.1058345118 6278800, 492300 6278727.258019379, 492317.3510595279 6278700, 492341.3788410323 6278600, 492333.20643103303 6278500, 492333.20643103303 6278450))"
88479;88479;20210030;"Salling 2024";3;"kote";"meter";"Magasinspecifik";"2025-08-15 00:00:00.0";"simak";"2025-08-15 00:00:00.0";"FOHM400";"MULTILINESTRING ((489171.16942434775 6278550, 489171.16942434775 6278500, 489187.34700977424 6278400, 489187.34700977424 6278350))"
88480;88480;20210030;"Salling 2024";4;"kote";"meter";"Magasinspecifik";"2025-08-15 00:00:00.0";"simak";"2025-08-15 00:00:00.0";"FOHM400";"MULTILINESTRING ((489071.8705786494 6278550, 489057.5729605672 6278500, 489074.98590687837 6278400, 489080.48665554594 6278350))"
88481;88481;20210030;"Salling 2024";15;"kote";"meter";"Magasinspecifik";"2025-08-15 00:00:00.0";"simak";"2025-08-15 00:00:00.0";"FOHM400";"MULTILINESTRING ((497250 6278770.210874019, 497294.7083634958 6278750, 497300 6278745.634303717, 497359.3277389235 6278700, 497400 6278668.3226838475, 497489.8022779596 6278600, 497500 6278593.534275947, 497600 6278532.60154287, 497646.24251971906 6278500, 497700 6278463.786502693, 497788.9562463725 6278400, 497800 6278393.8202513205, 497900 6278344.731135063, 497950 6278329.65727669))"
88482;88482;20210030;"Salling 2024";16;"kote";"meter";"Magasinspecifik";"2025-08-15 00:00:00.0";"simak";"2025-08-15 00:00:00.0";"FOHM400";"MULTILINESTRING ((491705.20565166493 6278350, 491703.37066058296 6278400, 491700 6278408.200248519, 491650 6278408.200248519))"
88483;88483;20210030;"Salling 2024";17;"kote";"meter";"Magasinspecifik";"2025-08-15 00:00:00.0";"simak";"2025-08-15 00:00:00.0";"FOHM400";"MULTILINESTRING ((491720.5445940932 6278350, 491713.30262913473 6278400, 491700 6278432.363052338, 491650 6278432.363052338))"
88484;88484;20210030;"Salling 2024";18;"kote";"meter";"Magasinspecifik";"2025-08-15 00:00:00.0";"simak";"2025-08-15 00:00:00.0";"FOHM400";"MULTILINESTRING ((491735.88353652146 6278350, 491723.23459768645 6278400, 491700 6278456.525856157, 491650 6278456.525856157))"
88485;88485;20210030;"Salling 2024";21;"kote";"meter";"Magasinspecifik";"2025-08-15 00:00:00.0";"simak";"2025-08-15 00:00:00.0";"FOHM400";"MULTILINESTRING ((492180.1334259288 6278350, 492150 6278319.954981134, 492100 6278313.388023046, 492000 6278321.262065582, 491900 6278337.727571352, 491800 6278354.343123671, 491753.03050334164 6278400, 491719.10846476775 6278500, 491700 6278545.305654685, 491691.9145377342 6278550, 491660.10292975133 6278600, 491600 6278696.204654049, 491596.6697290871 6278700, 491530.0741074947 6278800, 491500 6278855.732553582, 491464.9948220257 6278900, 491428.5359662696 6279000, 491467.70587123785 6279100, 491500 6279117.660550667, 491600 6279140.501454814, 491700 6279137.118495221, 491800 6279102.434924617, 491803.789001195 6279100, 491900 6279013.495598372, 491911.5843092776 6279000, 491995.71697167866 6278900, 492000 6278896.213506217, 492100 6278807.022823114, 492107.8591987351 6278800, 492200 6278743.299945855, 492253.5386628897 6278700, 492295.6847695639 6278600, 492285.9860498664 6278550, 492250 6278518.91386824))"
88486;88486;20210030;"Salling 2024";22;"kote";"meter";"Magasinspecifik";"2025-08-15 00:00:00.0";"simak";"2025-08-15 00:00:00.0";"FOHM400";"MULTILINESTRING ((492151.3592555144 6278350, 492150 6278348.644732342, 492100 6278332.49583734, 492000 6278337.055595078, 491900 6278350.107832953, 491800 6278363.9975311505, 491762.9624718934 6278400, 491735.021810974 6278500, 491700 6278583.035769421, 491687.62535513984 6278600, 491635.5792326872 6278700, 491600 6278774.61215551, 491583.4139769627 6278800, 491544.92342632136 6278900, 491542.5051347662 6279000, 491600 6279059.2283980595, 491700 6279069.881507862, 491800 6279022.536813229, 491824.5739296099 6279000, 491900 6278920.7850963855, 491917.6531478871 6278900, 492000 6278827.199677387, 492030.0923405298 6278800, 492100 6278752.892890792, 492180.8070321938 6278700, 492200 6278677.209686267, 492243.31849802035 6278600, 492230.7818655925 6278550))"
88487;88487;20210030;"Salling 2024";23;"kote";"meter";"Magasinspecifik";"2025-08-15 00:00:00.0";"simak";"2025-08-15 00:00:00.0";"FOHM400";"MULTILINESTRING ((492150 6278363.667241775, 492100 6278351.603651635, 492000 6278352.849124574, 491900 6278362.488094553, 491800 6278373.651938631, 491772.8944404451 6278400, 491750.93515718024 6278500, 491715.1873038565 6278600, 491700 6278645.673929951, 491674.51264819637 6278700, 491649.0098525663 6278800, 491647.09443097067 6278900, 491700 6278961.956529545, 491800 6278920.318302244, 491819.1582879317 6278900, 491900 6278843.219740358, 491949.2955412569 6278800, 492000 6278767.846220984, 492100 6278701.442339916, 492102.2035325786 6278700, 492191.15622774547 6278600, 492191.15622774547 6278550))"
88488;88488;20210030;"Salling 2024";24;"kote";"meter";"Magasinspecifik";"2025-08-15 00:00:00.0";"simak";"2025-08-15 00:00:00.0";"FOHM400";"MULTILINESTRING ((492150 6278378.012117379, 492100 6278370.711465931, 492000 6278368.642654071, 491900 6278374.868356153, 491800 6278383.306346111, 491782.8264089968 6278400, 491766.8485033865 6278500, 491742.78154028347 6278600, 491723.94313545874 6278700, 491770.83211809135 6278800, 491800 6278812.492756311, 491822.09912853997 6278800, 491900 6278772.416674329, 492000 6278714.776737934, 492022.2680420262 6278700, 492100 6278644.54979777, 492139.97066500335 6278600, 492139.97066500335 6278550))"
88489;88489;20210030;"Salling 2024";25;"kote";"meter";"Magasinspecifik";"2025-08-15 00:00:00.0";"simak";"2025-08-15 00:00:00.0";"FOHM400";"MULTILINESTRING ((492150 6278392.356992983, 492100 6278389.819280226, 492000 6278384.436183566, 491900 6278387.248617753, 491800 6278392.960753591, 491792.7583775486 6278400, 491782.76184959273 6278500, 491770.37577671045 6278600, 491793.271086138 6278700, 491800 6278709.899165001, 491900 6278705.296571034, 491909.8581824521 6278700, 492000 6278652.5420476245, 492078.47630844987 6278600, 492088.6174774845 6278550))"
88490;88490;20210030;"Salling 2024";26;"kote";"meter";"Magasinspecifik";"2025-08-15 00:00:00.0";"simak";"2025-08-15 00:00:00.0";"FOHM400";"MULTILINESTRING ((492055.367454781 6278450, 492050 6278440.543089111, 492000 6278402.187712063, 491967.330978447 6278400, 491900 6278399.628879353, 491890.03610430844 6278400, 491800 6278476.491267054, 491798.675195799 6278500, 491797.97001313744 6278600, 491800 6278607.533551081, 491900 6278629.483936128, 491965.6909081265 6278600, 492000 6278576.376154633, 492023.33372752124 6278550, 492050 6278535.85082692))"
88491;88491;20210030;"Salling 2024";6;"kote";"meter";"Magasinspecifik";"2025-08-15 00:00:00.0";"simak";"2025-08-15 00:00:00.0";"FOHM400";"MULTILINESTRING ((488650 6278860.527730139, 488700 6278860.527730139, 488800 6278876.217472653, 488900 6278824.38543805, 488918.77960367955 6278800, 488949.35348699323 6278700, 488937.1640940852 6278600, 488917.7603559514 6278500, 488905.7039436457 6278400, 488900 6278387.191873204, 488801.2991698086 6278300, 488800 6278299.39484496, 488700 6278248.1204142235, 488600 6278226.418213888, 488525.9482558023 6278300, 488500 6278347.213535544, 488466.8312823058 6278400, 488469.62350702315 6278500, 488441.2360385289 6278600, 488439.5782145289 6278650))"
88492;88492;20210030;"Salling 2024";16;"kote";"meter";"Magasinspecifik";"2025-08-15 00:00:00.0";"simak";"2025-08-15 00:00:00.0";"FOHM400";"MULTILINESTRING ((497172.4783033574 6278750, 497172.4783033574 6278700, 497200 6278681.264145129, 497300 6278603.397252806, 497304.3714806336 6278600, 497400 6278537.661438041, 497459.89379053 6278500, 497500 6278476.368841988, 497600 6278417.283457279, 497625.46089075494 6278400, 497700 6278353.027846575, 497800 6278303.920460883, 497807.1114625051 6278300, 497850 6278274.902717237, 497865.7097629755 6278250))"
88493;88493;20210030;"Salling 2024";16;"kote";"meter";"Magasinspecifik";"2025-08-15 00:00:00.0";"simak";"2025-08-15 00:00:00.0";"FOHM400";"MULTILINESTRING ((491824.36004457367 6278250, 491824.36004457367 6278300, 491800 6278306.071086271, 491750 6278308.859052298))"
88494;88494;20210030;"Salling 2024";17;"kote";"meter";"Magasinspecifik";"2025-08-15 00:00:00.0";"simak";"2025-08-15 00:00:00.0";"FOHM400";"MULTILINESTRING ((496975.48206261866 6278750, 496993.6248529151 6278700, 497000 6278695.907507963, 497100 6278631.496086006, 497144.15037104476 6278600, 497200 6278564.270127584, 497296.5417489 6278500, 497300 6278498.102376932, 497400 6278441.7628343385, 497460.5017565596 6278400, 497500 6278371.563530862, 497600 6278306.689905501, 497610.9109315781 6278300, 497700 6278266.940861212, 497800 6278224.413265897, 497850 6278214.7384436475))"
88498;88498;20210030;"Salling 2024";5;"kote";"meter";"Magasinspecifik";"2025-08-15 00:00:00.0";"simak";"2025-08-15 00:00:00.0";"FOHM400";"MULTILINESTRING ((489050 6278576.459662517, 489014.333108857 6278550, 489000 6278508.8096224675, 488996.9431900175 6278500, 488987.70668951195 6278400, 488968.9235915168 6278300, 488900 6278221.475951016, 488800 6278202.302649894, 488796.9250274863 6278200, 488800 6278191.992282769, 488900 6278160.135007061, 489000 6278157.772182487, 489050 6278155.580547495))"
88499;88499;20210030;"Salling 2024";14;"kote";"meter";"Magasinspecifik";"2025-08-15 00:00:00.0";"simak";"2025-08-15 00:00:00.0";"FOHM400";"MULTILINESTRING ((491350 6276395.606867141, 491400 6276395.606867141, 491405.2862308108 6276400, 491401.5796018112 6276450))"
88500;88500;20210030;"Salling 2024";18;"kote";"meter";"Magasinspecifik";"2025-08-15 00:00:00.0";"simak";"2025-08-15 00:00:00.0";"FOHM400";"MULTILINESTRING ((495550 6279358.046057351, 495600 6279358.046057351, 495700 6279332.740708557, 495800 6279310.570389184, 495841.56061796803 6279300, 495900 6279282.232602858, 496000 6279241.968851584, 496067.8771610033 6279200, 496100 6279181.582969468, 496200 6279127.0220125485, 496245.7908872593 6279100, 496300 6279067.235916281, 496400 6279007.011422897, 496412.2024794218 6279000, 496500 6278950.456292345, 496583.5242147001 6278900, 496600 6278890.59006003, 496700 6278825.31532146, 496729.4744968579 6278800, 496800 6278739.8239083085, 496853.5025176178 6278700, 496900 6278664.163705772, 496992.7369721318 6278600, 497000 6278595.1038109865, 497100 6278531.624381669, 497147.757888219 6278500, 497200 6278470.795666796, 497300 6278414.720507195, 497325.79832089355 6278400, 497400 6278361.120872812, 497480.66823985876 6278300, 497500 6278289.054557773, 497600 6278221.540084922, 497700 6278200.310701441, 497700.6702086745 6278200, 497750 6278186.510448298, 497778.6703538901 6278150))"
88501;88501;20210030;"Salling 2024";18;"kote";"meter";"Magasinspecifik";"2025-08-15 00:00:00.0";"simak";"2025-08-15 00:00:00.0";"FOHM400";"MULTILINESTRING ((492026.2435272938 6278150, 492024.92789669125 6278200, 492000 6278215.654991094, 491950 6278220.737351378))"
88502;88502;20210030;"Salling 2024";19;"kote";"meter";"Magasinspecifik";"2025-08-15 00:00:00.0";"simak";"2025-08-15 00:00:00.0";"FOHM400";"MULTILINESTRING ((495550 6279300.1039917935, 495600 6279300.1039917935, 495600.34114280023 6279300, 495650 6279263.553155119, 495700 6279260.822090561, 495800 6279227.448599863, 495872.9629965877 6279200, 495900 6279187.913613792, 496000 6279142.464653049, 496075.8250758921 6279100, 496100 6279087.5609156145, 496200 6279034.96485009, 496257.4200430915 6279000, 496300 6278975.136291191, 496400 6278917.757112245, 496431.10322189867 6278900, 496500 6278862.2674011355, 496600 6278805.1249516895, 496607.86383717856 6278800, 496700 6278739.040222716, 496745.96090795146 6278700, 496800 6278661.058226628, 496875.63868499984 6278600, 496900 6278580.289597114, 497000 6278509.796995632, 497014.695873968 6278500, 497100 6278448.619130678, 497184.46960584377 6278400, 497200 6278391.808201372, 497300 6278340.17090317, 497373.26679970976 6278300, 497400 6278286.862232709, 497500 6278231.838488548, 497542.8505846779 6278200, 497600 6278176.462174931, 497700 6278171.3045162875, 497745.614193276 6278150, 497750 6278148.603716488))"
88503;88503;20210030;"Salling 2024";20;"kote";"meter";"Magasinspecifik";"2025-08-15 00:00:00.0";"simak";"2025-08-15 00:00:00.0";"FOHM400";"MULTILINESTRING ((495650 6279176.50250505, 495700 6279176.50250505, 495800 6279125.319876695, 495865.9147083789 6279100, 495900 6279089.071606663, 496000 6279048.06715448, 496095.5805792087 6279000, 496100 6278997.891103709, 496200 6278944.134390144, 496276.36617942847 6278900, 496300 6278886.650093688, 496400 6278831.163754147, 496457.2277521025 6278800, 496500 6278777.531861557, 496600 6278719.738593437, 496629.59198852663 6278700, 496700 6278655.611988985, 496780.16544676357 6278600, 496800 6278587.375903752, 496900 6278506.51185046, 496909.0673271382 6278500, 497000 6278434.791196714, 497056.1237678755 6278400, 497100 6278374.842168747, 497200 6278321.175191704, 497240.1381237254 6278300, 497300 6278270.945130096, 497400 6278221.7387081, 497442.9418821929 6278200, 497500 6278177.386207704, 497600 6278144.746287551, 497700 6278142.474596493, 497750 6278128.952208827))"
