"ogc_fid";"id";"gkoid";"kortnavn";"kote";"enhed";"koteenhed";"potentialetype";"opretdato";"opretbruger";"opdateringdato";"magasin";"shape_wkt"
44981;44981;20200006;"Ringk�bing-Skjern";-580;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.9999994043 6223658.106489038, 447472.07031190395 6223672.070188379, 447458.10356080515 6223699.999875879, 447471.55342042446 6223728.446454858, 447499.99999940407 6223744.304532861, 447531.9377893214 6223731.937665796, 447554.65850770567 6223699.99987588, 447547.4319452054 6223652.567930078, 447499.9999994043 6223658.106489038))"
44982;44982;20200006;"Ringk�bing-Skjern";-585;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.99999940436 6223658.60659585, 447472.40333497524 6223672.40321145, 447458.6036676167 6223699.99987588, 447471.8929284812 6223728.106946802, 447499.99999940407 6223743.77581582, 447531.5567010648 6223731.556577539, 447554.006194473 6223699.999875879, 447546.8662256011 6223653.133649682, 447499.99999940436 6223658.60659585))"
44983;44983;20200006;"Ringk�bing-Skjern";-590;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.99999940407 6223659.106321191, 447472.73673951626 6223672.736615991, 447459.10339295847 6223699.999875879, 447472.23243653774 6223727.767438745, 447499.9999994042 6223743.247098779, 447531.17561280774 6223731.175489281, 447553.3538812406 6223699.999875879, 447546.30012452684 6223653.699750757, 447499.99999940407 6223659.106321191))"
44984;44984;20200006;"Ringk�bing-Skjern";-595;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.99999940424 6223659.606428003, 447473.0701440573 6223673.070020532, 447459.60349977005 6223699.99987588, 447472.5719445943 6223727.427930688, 447499.999999404 6223742.718763208, 447530.79452455114 6223730.794401025, 447552.70194947807 6223699.999875879, 447545.73402345274 6223654.26585183, 447499.99999940424 6223659.606428003))"
44985;44985;20200006;"Ringk�bing-Skjern";-600;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.9999994042 6223660.106153345, 447473.40316712856 6223673.4030436035, 447460.10322511155 6223699.999875879, 447472.9110711813 6223727.0888041025, 447499.9999994043 6223742.190046167, 447530.413436294 6223730.413312768, 447552.0496362457 6223699.999875879, 447545.1679223784 6223654.831952904, 447499.9999994042 6223660.106153345))"
44986;44986;20200006;"Ringk�bing-Skjern";-605;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.99999940424 6223660.606260155, 447473.7365716694 6223673.7364481455, 447460.6033319232 6223699.999875879, 447473.2505792377 6223726.749296045, 447499.99999940424 6223741.661329126, 447530.0323480374 6223730.032224512, 447551.3973230133 6223699.999875879, 447544.6018213041 6223655.3980539795, 447499.99999940424 6223660.606260155))"
44987;44987;20200006;"Ringk�bing-Skjern";-610;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.99999940424 6223661.105985498, 447474.0699762106 6223674.069852685, 447461.1034387349 6223699.999875878, 447473.5900872944 6223726.409787987, 447499.99999940424 6223741.132612084, 447529.65125978057 6223729.651136255, 447550.74500978086 6223699.999875879, 447544.0361016995 6223655.963773583, 447499.99999940424 6223661.105985498))"
44988;44988;20200006;"Ringk�bing-Skjern";-615;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.9999994041 6223661.60609231, 447474.4029992819 6223674.402875757, 447461.6031640767 6223699.999875879, 447473.9295953511 6223726.070279932, 447499.99999940407 6223740.603895044, 447529.2701715234 6223729.270047998, 447550.0926965483 6223699.999875878, 447543.4700006255 6223656.529874657, 447499.9999994041 6223661.60609231))"
44989;44989;20200006;"Ringk�bing-Skjern";-620;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.9999994043 6223662.105817651, 447474.7364038229 6223674.736280298, 447462.1032708882 6223699.999875879, 447474.26910340786 6223725.730771875, 447499.99999940424 6223740.075178003, 447528.888701797 6223728.8885782715, 447549.44038331596 6223699.999875879, 447542.90389955125 6223657.095975732, 447499.9999994043 6223662.105817651))"
44990;44990;20200006;"Ringk�bing-Skjern";-625;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.99999940407 6223662.605924463, 447475.0698083639 6223675.069684838, 447462.6033776998 6223699.99987588, 447474.60861146456 6223725.391263818, 447499.9999994042 6223739.546460962, 447528.50761354034 6223728.507490014, 447548.7884515532 6223699.999875879, 447542.337798477 6223657.662076807, 447499.99999940407 6223662.605924463))"
44991;44991;20200006;"Ringk�bing-Skjern";-630;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.9999994043 6223663.105649805, 447475.403212905 6223675.40308938, 447463.10310304153 6223699.999875879, 447474.94811952114 6223725.051755762, 447499.99999940424 6223739.017743921, 447528.12652528327 6223728.126401758, 447548.13613832084 6223699.999875879, 447541.77207887254 6223658.227796411, 447499.9999994043 6223663.105649805))"
44992;44992;20200006;"Ringk�bing-Skjern";-635;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.9999994043 6223663.605756616, 447475.7362359762 6223675.73611245, 447463.6032098528 6223699.999875877, 447475.28762757767 6223724.712247705, 447499.9999994043 6223738.48902688, 447527.7454370265 6223727.745313502, 447547.48382508836 6223699.999875879, 447541.2059777983 6223658.793897485, 447499.9999994043 6223663.605756616))"
44993;44993;20200006;"Ringk�bing-Skjern";-640;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.999999404 6223664.105481958, 447476.069640517 6223676.069516992, 447464.1029351946 6223699.999875878, 447475.62675416475 6223724.373121118, 447499.999999404 6223737.960309839, 447527.36434876965 6223727.364225244, 447546.8315118557 6223699.999875879, 447540.6398767238 6223659.35999856, 447499.999999404 6223664.105481958))"
44994;44994;20200006;"Ringk�bing-Skjern";-645;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.99999940424 6223664.60558877, 447476.4030450581 6223676.402921532, 447464.60304200643 6223699.999875879, 447475.9662622211 6223724.0336130615, 447499.99999940407 6223737.431592798, 447526.9832605127 6223726.983136987, 447546.1791986235 6223699.999875879, 447540.07377564977 6223659.926099634, 447499.99999940424 6223664.60558877))"
44995;44995;20200006;"Ringk�bing-Skjern";-470;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((444599.9999993716 6223047.0484446045, 444635.29787000787 6223064.702100609, 444652.9446595589 6223099.999875878, 444652.945422498 6223199.99987588, 444652.94647153973 6223299.99987588, 444652.94804510236 6223399.999875879, 444639.71228536696 6223439.712018822))"
44996;44996;20200006;"Ringk�bing-Skjern";-650;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.99999940424 6223665.105314111, 447476.7360681294 6223676.735944605, 447465.1031488177 6223699.999875878, 447476.30577027804 6223723.694105004, 447499.99999940395 6223736.902875757, 447526.60217225616 6223726.6020487305, 447545.5268853911 6223699.999875879, 447539.5076745756 6223660.492200708, 447499.99999940424 6223665.105314111))"
44997;44997;20200006;"Ringk�bing-Skjern";-655;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.999999404 6223665.605420923, 447477.06947267044 6223677.0693491455, 447465.6028741597 6223699.999875879, 447476.64527833444 6223723.354596948, 447499.999999404 6223736.374158715, 447526.22108399903 6223726.220960475, 447544.87495362834 6223699.999875879, 447538.94195497106 6223661.0579203125, 447499.999999404 6223665.605420923))"
44998;44998;20200006;"Ringk�bing-Skjern";-660;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.999999404 6223666.105146265, 447477.4028772116 6223677.4027536865, 447466.1029809712 6223699.999875879, 447476.98478639126 6223723.015088892, 447499.99999940407 6223735.845441675, 447525.8399957422 6223725.839872217, 447544.222640396 6223699.999875878, 447538.37585389684 6223661.624021387, 447499.999999404 6223666.105146265))"
44999;44999;20200006;"Ringk�bing-Skjern";-665;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.99999940424 6223666.605253076, 447477.73628175235 6223677.736158227, 447466.6027063131 6223699.999875878, 447477.3242944479 6223722.675580835, 447499.9999994043 6223735.316724634, 447525.4589074856 6223725.458783961, 447543.5703271633 6223699.999875878, 447537.8097528226 6223662.190122461, 447499.99999940424 6223666.605253076))"
45000;45000;20200006;"Ringk�bing-Skjern";-670;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.9999994043 6223667.104978418, 447478.06930482393 6223678.069181298, 447467.10281312466 6223699.999875879, 447477.6638025043 6223722.336072778, 447499.9999994043 6223734.788007593, 447525.07781922875 6223725.077695703, 447542.91801393114 6223699.999875879, 447537.2436517484 6223662.756223535, 447499.9999994043 6223667.104978418))"
45001;45001;20200006;"Ringk�bing-Skjern";-675;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.99999940407 6223667.60508523, 447478.4027093649 6223678.40258584, 447467.6029199362 6223699.99987588, 447478.003310561 6223721.996564722, 447499.9999994042 6223734.259290552, 447524.69673097186 6223724.696607446, 447542.2657006985 6223699.999875879, 447536.67793214374 6223663.32194314, 447499.99999940407 6223667.60508523))"
45002;45002;20200006;"Ringk�bing-Skjern";-680;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.99999940424 6223668.104810571, 447478.7361139059 6223678.73599038, 447468.10264527774 6223699.99987588, 447478.34243714815 6223721.657438135, 447499.99999940407 6223733.730573511, 447524.3152612453 6223724.31513772, 447541.6133874663 6223699.999875878, 447536.1118310697 6223663.888044214, 447499.99999940424 6223668.104810571))"
45003;45003;20200006;"Ringk�bing-Skjern";-685;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.99999940424 6223668.604917383, 447479.0691369773 6223679.069013451, 447468.6027520894 6223699.999875878, 447478.68194520473 6223721.317930078, 447499.9999994042 6223733.20185647, 447523.9341729886 6223723.934049463, 447540.96145570354 6223699.999875879, 447535.5457299953 6223664.454145288, 447499.99999940424 6223668.604917383))"
45004;45004;20200006;"Ringk�bing-Skjern";-690;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.999999404 6223669.104642725, 447479.4025415183 6223679.402417992, 447469.1024774313 6223699.999875879, 447479.02145326143 6223720.9784220215, 447499.99999940407 6223732.673520898, 447523.5530847317 6223723.552961205, 447540.3091424709 6223699.999875878, 447534.97962892125 6223665.020246361, 447499.999999404 6223669.104642725))"
45005;45005;20200006;"Ringk�bing-Skjern";-695;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.99999940424 6223669.604749536, 447479.7359460593 6223679.735822534, 447469.6025842427 6223699.999875879, 447479.3609613181 6223720.638913965, 447499.9999994043 6223732.144803857, 447523.17199647485 6223723.171872949, 447539.65682923864 6223699.99987588, 447534.41390931676 6223665.585965967, 447499.99999940424 6223669.604749536))"
45006;45006;20200006;"Ringk�bing-Skjern";-700;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.99999940424 6223670.104474877, 447480.06896913063 6223680.0688456055, 447470.10269105434 6223699.999875879, 447479.7004693747 6223720.299405908, 447499.9999994043 6223731.616086816, 447522.79090821795 6223722.790784692, 447539.0045160063 6223699.999875879, 447533.8478082423 6223666.152067041, 447499.99999940424 6223670.104474877))"
45007;45007;20200006;"Ringk�bing-Skjern";-705;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.99999940424 6223670.604581689, 447480.40237367153 6223680.4022501465, 447470.6024163959 6223699.999875878, 447480.03997743136 6223719.959897852, 447499.9999994043 6223731.0873697745, 447522.4098199612 6223722.409696436, 447538.35220277385 6223699.999875879, 447533.2817071683 6223666.718168114, 447499.99999940424 6223670.604581689))"
45008;45008;20200006;"Ringk�bing-Skjern";-710;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.9999994043 6223671.104307031, 447480.7357782125 6223680.7356546875, 447471.1025232076 6223699.99987588, 447480.37948548805 6223719.620389794, 447499.99999940424 6223730.558652734, 447522.0287317041 6223722.028608179, 447537.69988954114 6223699.999875879, 447532.7156060939 6223667.284269189, 447499.9999994043 6223671.104307031))"
45009;45009;20200006;"Ringk�bing-Skjern";-715;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.99999940424 6223671.604413843, 447481.06918275356 6223681.069059227, 447471.6022485492 6223699.999875879, 447480.71861207497 6223719.281263208, 447499.99999940407 6223730.029935693, 447521.6476434473 6223721.647519922, 447537.04795777885 6223699.999875878, 447532.1495050198 6223667.850370265, 447499.99999940424 6223671.604413843))"
45010;45010;20200006;"Ringk�bing-Skjern";-720;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.99999940424 6223672.104520654, 447481.40220582474 6223681.4020823, 447472.1023553608 6223699.999875879, 447481.0581201314 6223718.941755151, 447499.99999940424 6223729.501218651, 447521.2665551904 6223721.266431664, 447536.3956445463 6223699.999875878, 447531.58378541534 6223668.416089867, 447499.99999940424 6223672.104520654))"
45011;45011;20200006;"Ringk�bing-Skjern";-550;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((444599.99999937153 6223055.056257104, 444629.959821073 6223070.040006494, 444644.9378961006 6223099.999875879, 444644.9382298865 6223155.06159768, 444644.9394696631 6223299.999875878, 444644.9407571234 6223399.99987588, 444633.70661672717 6223433.706540918))"
45012;45012;20200006;"Ringk�bing-Skjern";-725;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.9999994043 6223672.604245996, 447481.73561036575 6223681.735486841, 447472.60246217257 6223699.99987588, 447481.3976281881 6223718.602247095, 447499.99999940424 6223728.972501611, 447520.8854669338 6223720.885343408, 447535.74333131383 6223699.999875879, 447531.0176843408 6223668.982190942, 447499.9999994043 6223672.604245996))"
45013;45013;20200006;"Ringk�bing-Skjern";-730;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.9999994043 6223673.104352808, 447482.069014907 6223682.068891383, 447473.10218751425 6223699.999875878, 447481.7371362449 6223718.262739037, 447499.999999404 6223728.44378457, 447520.50437867676 6223720.504255151, 447535.09101808135 6223699.999875879, 447530.45158326684 6223669.548292017, 447499.9999994043 6223673.104352808))"
45014;45014;20200006;"Ringk�bing-Skjern";-735;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.99999940407 6223673.604078149, 447482.4020379783 6223682.401914453, 447473.60229432577 6223699.999875879, 447482.0766443015 6223717.9232309805, 447499.999999404 6223727.915067529, 447520.1232904202 6223720.123166895, 447534.438704849 6223699.999875879, 447529.8854821927 6223670.114393091, 447499.99999940407 6223673.604078149))"
45015;45015;20200006;"Ringk�bing-Skjern";-740;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.9999994043 6223674.104184961, 447482.7354425193 6223682.735318994, 447474.10201966745 6223699.999875879, 447482.4161523581 6223717.583722924, 447499.99999940407 6223727.386350488, 447519.74182069354 6223719.741697168, 447533.78639161657 6223699.999875879, 447529.31976258795 6223670.680112694, 447499.9999994043 6223674.104184961))"
45016;45016;20200006;"Ringk�bing-Skjern";-745;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.9999994043 6223674.603910303, 447483.0688470602 6223683.068723535, 447474.60212647915 6223699.999875879, 447482.75566041464 6223717.244214866, 447499.999999404 6223726.857633447, 447519.3607324367 6223719.360608911, 447533.13445985387 6223699.999875879, 447528.753661514 6223671.24621377, 447499.9999994043 6223674.603910303))"
45017;45017;20200006;"Ringk�bing-Skjern";-750;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.99999940407 6223675.104017114, 447483.4022516011 6223683.402128076, 447475.10223329044 6223699.999875878, 447483.0951684712 6223716.9047068115, 447499.9999994041 6223726.328916405, 447518.97964417987 6223718.979520654, 447532.4821466212 6223699.999875878, 447528.1875604396 6223671.812314844, 447499.99999940407 6223675.104017114))"
45018;45018;20200006;"Ringk�bing-Skjern";-755;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.99999940424 6223675.603742456, 447483.7352746726 6223683.7351511475, 447475.60195863247 6223699.999875879, 447483.4342950581 6223716.565580225, 447499.99999940407 6223725.800199365, 447518.5985559228 6223718.598432396, 447531.8298333888 6223699.999875878, 447527.62145936524 6223672.378415918, 447499.99999940424 6223675.603742456))"
45019;45019;20200006;"Ringk�bing-Skjern";-760;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.99999940424 6223676.103849268, 447484.0686792134 6223684.0685556885, 447476.10206544405 6223699.999875879, 447483.773803115 6223716.226072168, 447499.99999940436 6223725.271482324, 447518.21746766625 6223718.21734414, 447531.17752015655 6223699.999875879, 447527.0553582913 6223672.944516992, 447499.99999940424 6223676.103849268))"
45020;45020;20200006;"Ringk�bing-Skjern";-765;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.9999994043 6223676.60357461, 447484.40208375466 6223684.401960229, 447476.6021722555 6223699.999875879, 447484.1133111715 6223715.886564111, 447499.9999994042 6223724.742765283, 447517.8363794093 6223717.836255884, 447530.5252069242 6223699.999875878, 447526.4896386866 6223673.510236597, 447499.9999994043 6223676.60357461))"
45021;45021;20200006;"Ringk�bing-Skjern";-770;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.99999940424 6223677.103681422, 447484.73510682594 6223684.734983301, 447477.1018975973 6223699.999875878, 447484.4528192281 6223715.547056055, 447499.99999940407 6223724.214048242, 447517.4552911525 6223717.455167626, 447529.87289369165 6223699.999875879, 447525.9235376126 6223674.076337671, 447499.99999940424 6223677.103681422))"
45022;45022;20200006;"Ringk�bing-Skjern";-775;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.99999940395 6223677.603406763, 447485.0685113668 6223685.068387843, 447477.60200440884 6223699.999875878, 447484.79232728475 6223715.207547998, 447499.99999940424 6223723.685331201, 447517.07420289546 6223717.074079371, 447529.22096192895 6223699.999875878, 447525.3574365383 6223674.642438745, 447499.99999940395 6223677.603406763))"
45023;45023;20200006;"Ringk�bing-Skjern";-780;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.9999994043 6223678.103513574, 447485.40191590774 6223685.401792382, 447478.10172975063 6223699.999875879, 447485.13183534145 6223714.8680399405, 447499.999999404 6223723.156614159, 447516.6931146388 6223716.692991113, 447528.5686486965 6223699.999875879, 447524.7913354639 6223675.20853982, 447499.9999994043 6223678.103513574))"
45024;45024;20200006;"Ringk�bing-Skjern";-475;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((444599.9999993712 6223047.548932886, 444634.9642270482 6223065.035505151, 444652.444218961 6223099.999875879, 444652.4460309425 6223299.999875878, 444652.4476045048 6223399.999875878, 444639.3369191562 6223439.336652612))"
45025;45025;20200006;"Ringk�bing-Skjern";-785;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.9999994043 6223678.603238916, 447485.73493897927 6223685.734815454, 447478.60183656233 6223699.999875879, 447485.4713433982 6223714.528531884, 447499.99999940424 6223722.628278589, 447516.31202638196 6223716.311902856, 447527.9163354641 6223699.999875878, 447524.2256158593 6223675.774259423, 447499.9999994043 6223678.603238916))"
45026;45026;20200006;"Ringk�bing-Skjern";-790;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.99999940407 6223679.103345728, 447486.0683435203 6223686.068219995, 447479.10194337374 6223699.999875879, 447485.8104699852 6223714.189405298, 447499.9999994042 6223722.099561548, 447515.9309381249 6223715.9308146, 447527.26402223157 6223699.999875878, 447523.6595147854 6223676.340360499, 447499.99999940407 6223679.103345728))"
45027;45027;20200006;"Ringk�bing-Skjern";-795;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.9999994044 6223679.603071069, 447486.4017480614 6223686.401624536, 447479.6016687155 6223699.999875879, 447486.1499780416 6223713.849897241, 447499.999999404 6223721.570844506, 447515.5498498683 6223715.549726343, 447526.61170899926 6223699.999875879, 447523.09341371094 6223676.906461571, 447499.9999994044 6223679.603071069))"
45028;45028;20200006;"Ringk�bing-Skjern";-800;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.99999940407 6223680.103177881, 447486.73515260214 6223686.735029077, 447480.10177552706 6223699.999875879, 447486.4894860983 6223713.510389184, 447499.99999940424 6223721.042127466, 447515.1683801418 6223715.168256616, 447525.9593957669 6223699.999875879, 447522.5273126367 6223677.4725626465, 447499.99999940407 6223680.103177881))"
45029;45029;20200006;"Ringk�bing-Skjern";-805;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.9999994043 6223680.602903223, 447487.0681756737 6223687.068052148, 447480.60150086886 6223699.999875879, 447486.82899415505 6223713.170881128, 447499.9999994042 6223720.513410425, 447514.7872918849 6223714.787168359, 447525.30746400415 6223699.999875879, 447521.9612115625 6223678.038663722, 447499.9999994043 6223680.602903223))"
45030;45030;20200006;"Ringk�bing-Skjern";-810;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.999999404 6223681.103010034, 447487.4015802147 6223687.4014566885, 447481.1016076804 6223699.999875878, 447487.1685022115 6223712.831373071, 447499.9999994043 6223719.984693384, 447514.4062036279 6223714.406080103, 447524.6551507717 6223699.999875879, 447521.395491958 6223678.604383325, 447499.999999404 6223681.103010034))"
45031;45031;20200006;"Ringk�bing-Skjern";-815;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.99999940424 6223681.602735376, 447487.7349847557 6223687.73486123, 447481.60171449196 6223699.999875879, 447487.5080102682 6223712.491865015, 447499.99999940424 6223719.455976343, 447514.0251153712 6223714.024991846, 447524.0028375393 6223699.999875878, 447520.82939088374 6223679.170484399, 447499.99999940424 6223681.602735376))"
45032;45032;20200006;"Ringk�bing-Skjern";-820;"Kote";"Meter";"Magasinspecifik";"2023-06-30 00:00:00.0";"simak";"2023-06-30 00:00:00.0";"Sand5";"MULTILINESTRING ((447499.999999404 6223682.1028421875, 447488.0680078268 6223688.067884302, 447482.10143983376 6223699.999875879, 447487.8475183248 6223712.152356957, 447499.99999940424 6223718.927259302, 447513.6440271142 6223713.643903589, 447523.3505243068 6223699.99987588, 447520.2632898096 6223679.736585475, 447499.999999404 6223682.1028421875))"
