Discharge of water by farm type; discharge; region and time;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
 ; ; ;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
115 Freshwater aquaculture;;;;;;;;;;;;;;;;;
 ;SP Wastewater, 1,000 m3;;;;;;;;;;;;;;;;
 ; ;575 Vejen;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;630 Vejle;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;580 Aabenraa;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;082 Region Midtjylland;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;710 Favrskov;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;766 Hedensted;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;615 Horsens;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;707 Norddjurs;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;727 Odder;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;730 Randers;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;741 Samsø;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;740 Silkeborg;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;746 Skanderborg;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;706 Syddjurs;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;751 Aarhus;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;657 Herning;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;661 Holstebro;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;756 Ikast-Brande;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;665 Lemvig;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;760 Ringkøbing-Skjern;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;779 Skive;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;671 Struer;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
