"Forbrug af vand (Fysiske vandregnskab) efter vandtype, branche og tid"

" "," ","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
" ","V96000 96000 Frisører, vaskerier og andre serviceydelser",1375,1399,1426,1225,1265,1280,1355,1201,1090,1052,1082,837,934,1100,1087
" ","V960000 960000 Frisører, vaskerier og andre serviceydelser",1375,1399,1426,1225,1265,1280,1355,1201,1090,1052,1082,837,934,1100,1087
" ","VSB SB Private husholdninger med ansat medhjælp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V97000 97000 Private husholdninger med ansat medhjælp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V970000 970000 Private husholdninger med ansat medhjælp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INDVA Eget indvundet vand"
" ","ETOT Brancher og husholdninger",575155,600431,509318,652009,653317,586829,529309,540434,739149,586682,574572,598041,598027,638284,458074
" ","EHUSHOLD Husholdninger",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","EV Brancher i alt",575155,600431,509318,652009,653317,586829,529309,540434,739149,586682,574572,598041,598027,638284,458074
" ","VA A Landbrug, skovbrug og fiskeri",495706,519470,428191,577670,580042,514274,458635,475189,659339,507180,487819,515743,523757,563398,378677
" ","V01000 01000 Landbrug og gartneri",200798,220503,124007,252025,267159,189650,180577,201970,374349,240742,202914,234562,258969,296847,100430
" ","V010000 010000 Landbrug og gartneri",200798,220503,124007,252025,267159,189650,180577,201970,374349,240742,202914,234562,258969,296847,100430
" ","V02000 02000 Skovbrug",28,33,44,0,0,0,0,0,0,51,0,0,0,0,0
" ","V020000 020000 Skovbrug",28,33,44,0,0,0,0,0,0,51,0,0,0,0,0
" ","V03000 03000 Fiskeri",294879,298934,304140,325645,312883,324624,278058,273219,284990,266387,284905,281181,264788,266551,278247
" ","V030000 030000 Fiskeri",294879,298934,304140,325645,312883,324624,278058,273219,284990,266387,284905,281181,264788,266551,278247
" ","VB B Råstofindvinding",8173,8260,9396,8519,7095,8443,7820,7369,8793,9287,14524,9556,6657,9517,13422
" ","V06090 06090 Råstofindvinding",8173,8260,9396,8519,7095,8443,7820,7369,8793,9287,14524,9556,6657,9517,13422
" ","V060000 060000 Indvinding af olie og gas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V080090 080090 Indvinding af grus og sten",8173,8260,9396,8519,7095,8443,7820,7369,8793,9287,14524,9556,6657,9517,13422
" ","V090000 090000 Service til råstofindvinding",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VC C Industri",23483,23947,23673,21640,23539,22809,22568,20384,26737,26761,26219,25910,22835,21617,21604
" ","VCA CA Føde-, drikke- og tobaksvareindustri",12616,12421,13470,12375,13432,12690,12986,10793,15275,15642,15050,16502,15197,14114,14000
" ","V10120 10120 Føde-, drikke- og tobaksvareindustri",12616,12421,13470,12375,13432,12690,12986,10793,15275,15642,15050,16502,15197,14114,14000
" ","V100010 100010 Slagterier",2982,2840,3431,3868,3874,4014,3958,3143,3990,4082,3682,3862,3604,2391,2461
" ","V100020 100020 Fiskeindustri",27,23,32,20,5,15,18,14,12,15,16,16,19,24,17
" ","V100030 100030 Mejerier",4024,3744,4260,5109,4515,4274,5391,4339,6238,6793,6280,6319,5718,5932,5951
" ","V100040 100040 Bagerier, brødfabrikker mv.",821,842,1216,462,1378,1004,399,624,735,1334,1066,782,929,956,1002
" ","V100050 100050 Anden fødevareindustri",1854,2010,2510,1457,2287,2185,1908,1655,2816,1954,2644,4483,4186,4043,3766
" ","V110000 110000 Drikkevareindustri",2908,2962,2021,1459,1373,1198,1313,1018,1484,1464,1363,1039,741,768,803
" ","V120000 120000 Tobaksindustri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VCB CB Tekstil- og læderindustri",34,33,29,22,13,15,23,19,21,16,18,19,8,5,1
" ","V13150 13150 Tekstil- og læderindustri",34,33,29,22,13,15,23,19,21,16,18,19,8,5,1
" ","V130000 130000 Tekstilindustri",34,33,29,22,13,15,23,19,21,16,18,19,8,5,1
" ","V140000 140000 Beklædningsindustri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V150000 150000 Læder- og fodtøjsindustri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VCC CC Træ- og papirindustri, trykkerier",3016,2814,795,814,662,338,636,531,641,670,542,175,100,98,98
" ","V16000 16000 Træindustri",84,118,107,149,141,89,43,25,28,25,21,64,14,14,14
" ","V160000 160000 Træindustri",84,118,107,149,141,89,43,25,28,25,21,64,14,14,14
" ","V17000 17000 Papirindustri",2932,2696,689,665,521,249,594,506,614,645,521,110,86,84,84
" ","V170000 170000 Papirindustri",2932,2696,689,665,521,249,594,506,614,645,521,110,86,84,84
" ","V18000 18000 Trykkerier mv.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V180000 180000 Trykkerier mv.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VCD CD Olieraffinaderier mv.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V19000 19000 Olieraffinaderier mv.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V190000 190000 Olieraffinaderier mv.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VCE CE Kemisk industri",2635,2468,2296,2201,2804,2659,1743,1834,2218,2163,2124,1781,1427,1491,1585
" ","V20000 20000 Kemisk industri",2635,2468,2296,2201,2804,2659,1743,1834,2218,2163,2124,1781,1427,1491,1585
" ","V200010 200010 Fremst. af basiskemikalier",217,220,265,244,185,181,227,175,197,227,204,153,168,170,61
" ","V200020 200020 Fremst. af maling og sæbe mv.",2418,2248,2030,1958,2620,2478,1515,1659,2021,1936,1919,1628,1259,1321,1524
" ","VCF CF Medicinalindustri",55,68,82,62,64,76,71,57,71,92,101,101,81,100,89
" ","V21000 21000 Medicinalindustri",55,68,82,62,64,76,71,57,71,92,101,101,81,100,89
" ","V210000 210000 Medicinalindustri",55,68,82,62,64,76,71,57,71,92,101,101,81,100,89
" ","VCG CG Plast-, glas- og betonindustri",3983,4683,5373,5017,4781,5423,5541,5023,6422,6408,6181,5206,4794,4345,4308
" ","V22000 22000 Plast- og gummiindustri",479,814,1026,918,927,966,945,863,1065,647,1023,423,409,268,348
" ","V220000 220000 Plast- og gummiindustri",479,814,1026,918,927,966,945,863,1065,647,1023,423,409,268,348
" ","V23000 23000 Glas- og betonindustri",3504,3869,4347,4098,3854,4457,4596,4160,5357,5760,5158,4783,4384,4077,3960
" ","V230010 230010 Glasindustri og keramisk industri",77,146,94,91,172,195,179,146,195,214,196,173,144,135,157
" ","V230020 230020 Betonindustri og teglværker",3427,3723,4252,4007,3682,4262,4417,4014,5162,5546,4962,4610,4241,3942,3803
" ","VCH CH Metalindustri",840,900,921,841,989,1084,1303,1693,1822,1485,1491,1602,945,1128,1523
" ","V24000 24000 Fremst. af metal",817,881,803,725,864,969,1179,1568,1623,1237,1283,1381,716,885,751
" ","V240000 240000 Fremst. af metal",817,881,803,725,864,969,1179,1568,1623,1237,1283,1381,716,885,751
" ","V25000 25000 Metalvareindustri",23,19,119,116,125,116,124,125,199,248,208,221,229,244,772
" ","V250000 250000 Metalvareindustri",23,19,119,116,125,116,124,125,199,248,208,221,229,244,772
" ","VCI CI Elektronikindustri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V26000 26000 Elektronikindustri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V260010 260010 Fremst. af computere og kommunikationsudstyr mv.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V260020 260020 Fremst. af andet elektronisk udstyr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VCJ CJ Fremst. af elektrisk udstyr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V27000 27000 Fremst. af elektrisk udstyr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V270010 270010 Fremst. af elektriske motorer mv.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V270020 270020 Fremst. af ledninger og kabler",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V270030 270030 Fremst. af husholdningsapparater, lamper mv.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VCK CK Maskinindustri",304,560,707,307,794,523,264,434,268,286,711,524,285,336,0
" ","V28000 28000 Maskinindustri",304,560,707,307,794,523,264,434,268,286,711,524,285,336,0
" ","V280010 280010 Fremst. af motorer, vindmøller og pumper",272,529,672,256,730,465,217,391,231,283,698,524,284,336,0
" ","V280020 280020 Fremst. af andre maskiner",32,31,34,51,64,59,47,43,36,3,13,0,0,0,0
" ","VCL CL Transportmiddelindustri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V29000 29000 Fremst. af motorkøretøjer og dele hertil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V290000 290000 Fremst. af motorkøretøjer og dele hertil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V30000 30000 Fremst. af skibe og andre transportmidler",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V300000 300000 Fremst. af skibe og andre transportmidler",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VCM CM Møbel- og anden industri mv.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V31320 31320 Møbel- og anden industri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V310000 310000 Møbelindustri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V320010 320010 Fremst. af medicinske instrumenter mv.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V320020 320020 Legetøj og anden fremstillingsvirksomhed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V33000 33000 Reparation og installation af maskiner og udstyr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V330000 330000 Reparation og installation af maskiner og udstyr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VD_E D_E Forsyningsvirksomhed",44526,43433,40940,38437,37368,35255,34049,32684,38049,34971,36575,34997,33433,32319,33287
" ","VD D Energiforsyning",2065,1540,1316,1528,2120,1954,1317,1719,2885,3695,3871,3391,2928,1783,2404
" ","V35000 35000 Energiforsyning",2065,1540,1316,1528,2120,1954,1317,1719,2885,3695,3871,3391,2928,1783,2404
" ","V350010 350010 Elforsyning",1808,1282,1057,1074,800,821,595,745,954,1048,1110,1017,874,891,923
" ","V350020 350020 Gasforsyning",53,55,64,52,54,62,0,0,2,0,0,98,126,175,94
" ","V350030 350030 Varmeforsyning",204,203,195,402,1267,1071,722,973,1930,2646,2761,2277,1927,717,1387
" ","VE E Vandforsyning og renovation",42461,41893,39624,36910,35248,33301,32733,30965,35164,31276,32705,31605,30505,30536,30883
" ","V36000 36000 Vandforsyning",38243,37617,34224,32497,31752,29716,29397,27642,32039,28206,29460,28518,27900,28213,28905
" ","V360000 360000 Vandforsyning",38243,37617,34224,32497,31752,29716,29397,27642,32039,28206,29460,28518,27900,28213,28905
" ","V37390 37390 Renovation, affaldsbehandling mv.",4218,4276,5400,4413,3496,3585,3335,3323,3125,3071,3245,3087,2605,2323,1978
" ","V370000 370000 Kloak- og rensningsanlæg",26,54,54,40,40,42,71,489,536,485,478,42,28,27,26
" ","V383900 383900 Renovation, genbrug og forureningsbekæmpelse",4192,4223,5346,4373,3456,3543,3264,2833,2589,2585,2767,3046,2577,2296,1952
" ","VF F Bygge og anlæg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V41430 41430 Bygge og anlæg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V410009 410009 Nybyggeri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V420000 420000 Anlægsvirksomhed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V430003 430003 Professionel reparation og vedligeholdelse af bygninger",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V430004 430004 Gør-det-selv reparation og vedligeholdelse af boliger",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VG_I G_I Handel og transport mv.",765,829,1514,569,337,527,456,396,547,556,395,388,318,347,316
" ","VG G Handel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V45000 45000 Bilhandel og -værksteder mv.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V450010 450010 Bilhandel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V450020 450020 Bilværksteder mv.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V46000 46000 Engroshandel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V460000 460000 Engroshandel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V47000 47000 Detailhandel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V470000 470000 Detailhandel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VH H Transport",511,420,370,258,64,327,147,140,216,247,207,170,154,61,52
" ","V49000 49000 Landtransport",1,1,1,1,1,1,1,1,1,0,1,1,0,0,0
" ","V490010 490010 Regional- og fjerntog",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V490020 490020 Lokaltog, bus og taxi mv.",1,1,1,1,1,1,1,1,1,0,1,1,0,0,0
" ","V490030 490030 Fragtvognmænd og rørtransport",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V50000 50000 Skibsfart",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V500000 500000 Skibsfart",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V51000 51000 Luftfart",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V510000 510000 Luftfart",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V52000 52000 Hjælpevirksomhed til transport",510,419,369,258,63,326,146,139,215,247,206,169,154,61,52
" ","V520000 520000 Hjælpevirksomhed til transport",510,419,369,258,63,326,146,139,215,247,206,169,154,61,52
" ","V53000 53000 Post og kurertjeneste",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V530000 530000 Post og kurertjeneste",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VI I Hoteller og restauranter",255,409,1144,311,274,200,310,256,331,309,188,218,164,286,264
" ","V55560 55560 Hoteller og restauranter",255,409,1144,311,274,200,310,256,331,309,188,218,164,286,264
" ","V550000 550000 Hoteller mv.",255,409,1144,311,274,200,310,256,331,309,188,218,164,286,264
" ","V560000 560000 Restauranter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VJ J Information og kommunikation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VJA JA Forlag, tv og radio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V58000 58000 Udgivervirksomhed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V580010 580010 Forlag",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V580020 580020 Udgivelse af computerspil og anden software",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V59600 59600 Radio- og tv-stationer samt produktion af film, tv, mus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V590000 590000 Produktion af film, tv og musik mv.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V600000 600000 Radio- og tv-stationer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VJB JB Telekommunikation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V61000 61000 Telekommunikation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V610000 610000 Telekommunikation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VJC JC It- og informationstjenester",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V62630 62630 It- og informationstjenester",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V620000 620000 It-konsulenter mv.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V630000 630000 Informationstjenester",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VK K Finansiering og forsikring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V64000 64000 Finansiel virksomhed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V640010 640010 Pengeinstitutter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V640020 640020 Kreditforeninger mv.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V65000 65000 Forsikring og pension",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V650000 650000 Forsikring og pension",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V66000 66000 Finansiel service",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V660000 660000 Finansiel service",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VLA LA Ejendomshandel og udlejning af erhvervsejendomme",0,412,530,574,548,626,333,0,0,299,0,831,790,822,0
" ","V68100 68100 Ejendomsmæglere mv.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V680010 680010 Ejendomsmæglere mv.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V68300 68300 Udlejning af erhvervsejendomme",0,412,530,574,548,626,333,0,0,299,0,831,790,822,0
" ","V680030 680030 Udlejning af erhvervsejendomme",0,412,530,574,548,626,333,0,0,299,0,831,790,822,0
" ","VLB LB Boliger",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V68203 68203 Boliger, husleje i lejeboliger",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V680023 680023 Boliger, husleje i lejeboliger",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V68204 68204 Boliger, ejerboliger mv.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V680024 680024 Boliger, ejerboliger mv.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VM_N M_N Erhvervsservice",230,338,597,480,587,1204,1279,1146,1199,1283,931,1062,868,954,903
" ","VM M Videnservice",156,273,506,410,522,1126,1197,1062,1098,1198,856,1062,868,954,903
" ","VMA MA Rådgivning mv.",71,204,428,368,314,508,718,562,787,899,630,763,636,750,754
" ","V69700 69700 Advokater, revisorer og virksomhedskonsulenter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V690010 690010 Advokatvirksomhed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V690020 690020 Revision og bogføring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V700000 700000 Virksomhedskonsulenter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V71000 71000 Arkitekter og rådgivende ingeniører",71,204,428,368,314,508,718,562,787,899,630,763,636,750,754
" ","V710000 710000 Arkitekter og rådgivende ingeniører",71,204,428,368,314,508,718,562,787,899,630,763,636,750,754
" ","VMB MB Forskning og udvikling",85,69,79,41,208,618,478,500,312,299,226,299,232,204,149
" ","V72001 72001 Forskning og udvikling, markedsmæssig",7,3,3,10,14,6,13,1,23,11,34,15,21,24,15
" ","V720001 720001 Forskning og udvikling, markedsmæssig",7,3,3,10,14,6,13,1,23,11,34,15,21,24,15
" ","V72002 72002 Forskning og udvikling, ikke-markedsmæssig",78,66,75,31,194,611,465,499,289,287,192,284,211,180,134
" ","V720002 720002 Forskning og udvikling, ikke-markedsmæssig",78,66,75,31,194,611,465,499,289,287,192,284,211,180,134
" ","VMC MC Reklame og øvrige erhvervsservice",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V73000 73000 Reklame- og analysebureauer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V730000 730000 Reklame- og analysebureauer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V74750 74750 Dyrlæger og anden videnservice",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V740000 740000 Anden videnservice",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V750000 750000 Dyrlæger",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VN N Rejsebureauer, rengøring og anden operationel service",74,65,91,71,65,78,82,83,100,85,75,0,0,0,0
" ","V77000 77000 Udlejning og leasing af materiel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V770000 770000 Udlejning og leasing af materiel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V78000 78000 Arbejdsformidling og vikarbureauer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V780000 780000 Arbejdsformidling og vikarbureauer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V79000 79000 Rejsebureauer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V790000 790000 Rejsebureauer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V80820 80820 Rengøring og anden operationel service",74,65,91,71,65,78,82,83,100,85,75,0,0,0,0
" ","V800000 800000 Vagt og sikkerhedstjeneste",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V810000 810000 Ejendomsservice, rengøring og anlægsgartnere",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V820000 820000 Anden operationel service",74,65,91,71,65,78,82,83,100,85,75,0,0,0,0
" ","VO_Q O_Q Offentlig administration, undervisning og sundhed",965,1002,1121,984,840,811,785,690,541,488,676,2115,2216,2543,904
" ","VO O Offentlig administration, forsvar og politi",582,622,622,603,428,387,442,364,182,113,120,318,281,268,217
" ","V84202 84202 Offentlig administration mv.",582,622,622,603,428,387,442,364,182,113,120,318,281,268,217
" ","V840010 840010 Offentlig administration",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V840022 840022 Forsvar, politi og retsvæsen mv., ikke-markedsmæssig",582,622,622,603,428,387,442,364,182,113,120,318,281,268,217
" ","V84101 84101 Redningskorps mv., markedsmæssig",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V840021 840021 Redningskorps mv., markedsmæssig",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VP P Undervisning",72,72,89,88,83,79,49,27,44,46,22,279,285,264,254
" ","V85202 85202 Undervisning, ikke-markedsmæssig",28,29,33,33,33,37,31,25,29,30,7,266,273,249,238
" ","V850010 850010 Grundskoler",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V850020 850020 Gymnasier og erhvervsfaglige skoler",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V850030 850030 Videregående uddannelsesinstitutioner",28,29,33,33,33,37,31,25,29,30,7,266,273,249,238
" ","V850042 850042 Voksenundervisning mv., ikke-markedsmæssig",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V85101 85101 Voksenundervisning mv., markedsmæssig",44,43,55,55,50,42,18,3,16,16,15,13,12,15,16
" ","V850041 850041 Voksenundervisning mv., markedsmæssig",44,43,55,55,50,42,18,3,16,16,15,13,12,15,16
" ","VQ Q Sundhed og socialvæsen",311,308,411,293,328,345,294,299,315,329,533,1517,1649,2011,434
" ","VQA QA Sundhedsvæsen",311,308,411,293,328,345,294,299,315,329,533,1517,1649,2011,434
" ","V86000 86000 Sundhedsvæsen",311,308,411,293,328,345,294,299,315,329,533,1517,1649,2011,434
" ","V860010 860010 Hospitaler",311,308,411,293,328,345,294,299,315,329,533,1517,1649,2011,434
" ","V860020 860020 Læger, tandlæger mv.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VQB QB Sociale institutioner",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V87880 87880 Sociale institutioner",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V870000 870000 Plejehjem mv.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V880000 880000 Daginstitutioner og dagcentre mv.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VR_S R_S Kultur, fritid og anden service",1307,2741,3355,3136,2963,2879,3383,2578,3944,5857,7432,7439,7153,6768,8961
" ","VR R Kultur og fritid",1147,2577,3090,3028,2872,2788,3276,2516,3881,3562,4114,5477,5445,4187,4106
" ","V90920 90920 Kunst, kultur og spil",37,39,47,45,44,45,51,65,50,55,0,0,0,0,0
" ","V900000 900000 Teater, musik og kunst",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V910001 910001 Biblioteker, museer mv., markedsmæssig",37,39,47,45,44,45,51,65,50,55,0,0,0,0,0
" ","V910002 910002 Biblioteker, museer mv., ikke-markedsmæssig",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V920000 920000 Lotteri og andet spil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V93000 93000 Sport, forlystelsesparker og andre fritidsaktiviteter",1109,2538,3044,2983,2828,2744,3225,2451,3831,3507,4114,5477,5445,4187,4106
" ","V930011 930011 Sport, markedsmæssig",976,2436,2932,2838,2605,2534,3018,2290,3613,3271,3882,5270,5243,3933,3794
" ","V930012 930012 Sport, ikke-markedsmæssig",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V930020 930020 Forlystelsesparker og andre fritidsaktiviteter",133,102,112,145,222,210,207,161,218,236,232,207,202,255,312
" ","VSA SA Andre serviceydelser",160,164,264,109,91,91,107,62,63,2295,3317,1962,1709,2580,4855
" ","V94000 94000 Organisationer og foreninger",31,35,28,43,28,31,31,1,1,2237,3275,1927,1671,2535,4812
" ","V940000 940000 Organisationer og foreninger",31,35,28,43,28,31,31,1,1,2237,3275,1927,1671,2535,4812
" ","V95000 95000 Reparation af husholdningsudstyr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V950000 950000 Reparation af husholdningsudstyr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V96000 96000 Frisører, vaskerier og andre serviceydelser",129,129,237,66,63,60,77,62,62,58,42,34,38,45,44
" ","V960000 960000 Frisører, vaskerier og andre serviceydelser",129,129,237,66,63,60,77,62,62,58,42,34,38,45,44
" ","VSB SB Private husholdninger med ansat medhjælp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V97000 97000 Private husholdninger med ansat medhjælp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V970000 970000 Private husholdninger med ansat medhjælp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INDGVA Eget indvundet grundvand"
" ","ETOT Brancher og husholdninger",320281,355892,263112,396968,414100,353756,327573,322894,505074,368474,330459,360387,373567,408835,227084
" ","EHUSHOLD Husholdninger",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","EV Brancher i alt",320281,355892,263112,396968,414100,353756,327573,322894,505074,368474,330459,360387,373567,408835,227084
" ","VA A Landbrug, skovbrug og fiskeri",243937,278363,184599,325945,343921,284341,259776,261545,429193,295539,251467,284897,305294,341731,153116
" ","V01000 01000 Landbrug og gartneri",196346,216495,120620,246953,261642,186640,176561,197883,367076,235479,196435,228599,251108,287702,96977
" ","V010000 010000 Landbrug og gartneri",196346,216495,120620,246953,261642,186640,176561,197883,367076,235479,196435,228599,251108,287702,96977
" ","V02000 02000 Skovbrug",28,33,44,0,0,0,0,0,0,51,0,0,0,0,0
" ","V020000 020000 Skovbrug",28,33,44,0,0,0,0,0,0,51,0,0,0,0,0
" ","V03000 03000 Fiskeri",47562,61836,63935,78992,82279,97700,83215,63662,62117,60009,55033,56298,54185,54029,56139
" ","V030000 030000 Fiskeri",47562,61836,63935,78992,82279,97700,83215,63662,62117,60009,55033,56298,54185,54029,56139
