"Forbrug af vand (Fysiske vandregnskab) efter vandtype, branche og tid"

" "," ","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
" ","V230010 230010 Glasindustri og keramisk industri",217,426,168,198,238,277,235,203,248,255,242,233,205,187,209
" ","V230020 230020 Betonindustri og teglværker",4224,4616,5255,5081,4805,5575,5632,5342,6475,6891,6188,5697,5531,5243,5094
" ","VCH CH Metalindustri",1778,1743,1808,1613,1779,1913,2308,2642,2626,2235,2242,2213,1643,1821,2201
" ","V24000 24000 Fremst. af metal",989,1091,971,910,1019,1139,1395,1708,1748,1354,1389,1490,810,966,833
" ","V240000 240000 Fremst. af metal",989,1091,971,910,1019,1139,1395,1708,1748,1354,1389,1490,810,966,833
" ","V25000 25000 Metalvareindustri",789,652,837,703,761,773,913,934,879,881,853,722,833,854,1369
" ","V250000 250000 Metalvareindustri",789,652,837,703,761,773,913,934,879,881,853,722,833,854,1369
" ","VCI CI Elektronikindustri",153,249,210,192,199,179,208,129,145,137,147,92,130,92,93
" ","V26000 26000 Elektronikindustri",153,249,210,192,199,179,208,129,145,137,147,92,130,92,93
" ","V260010 260010 Fremst. af computere og kommunikationsudstyr mv.",104,155,148,95,86,88,96,61,55,44,68,36,44,37,37
" ","V260020 260020 Fremst. af andet elektronisk udstyr",50,93,62,96,113,91,113,68,89,93,80,56,86,55,56
" ","VCJ CJ Fremst. af elektrisk udstyr",103,98,90,114,129,102,128,135,92,109,111,97,75,87,75
" ","V27000 27000 Fremst. af elektrisk udstyr",103,98,90,114,129,102,128,135,92,109,111,97,75,87,75
" ","V270010 270010 Fremst. af elektriske motorer mv.",29,33,31,26,43,40,45,75,41,31,46,50,29,34,22
" ","V270020 270020 Fremst. af ledninger og kabler",30,33,31,30,38,39,43,36,34,20,32,20,22,30,30
" ","V270030 270030 Fremst. af husholdningsapparater, lamper mv.",44,32,28,58,49,23,40,24,18,58,32,28,24,23,23
" ","VCK CK Maskinindustri",1141,1369,1467,1109,1527,1511,1281,1282,1087,983,1433,1117,1030,1074,680
" ","V28000 28000 Maskinindustri",1141,1369,1467,1109,1527,1511,1281,1282,1087,983,1433,1117,1030,1074,680
" ","V280010 280010 Fremst. af motorer, vindmøller og pumper",786,1022,1084,725,1082,1026,830,923,695,673,1065,830,665,684,291
" ","V280020 280020 Fremst. af andre maskiner",356,347,383,384,445,485,450,359,392,310,368,287,364,389,389
" ","VCL CL Transportmiddelindustri",165,156,89,128,106,103,144,126,126,121,105,91,112,103,102
" ","V29000 29000 Fremst. af motorkøretøjer og dele hertil",58,71,59,92,67,69,101,82,73,80,60,47,49,56,56
" ","V290000 290000 Fremst. af motorkøretøjer og dele hertil",58,71,59,92,67,69,101,82,73,80,60,47,49,56,56
